tracker,config,sequence,degradation,severity,seed,frames,mean_iou,success_auc,precision_20,mean_center_error,result_path,time_path,eval_otb_root,notes
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_Gymnastics,clean,none,0,368,0.309803,0.311558,0.002717,219.966156,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_Gymnastics/clean_none_seed0/nfs_Gymnastics.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_Gymnastics/clean_none_seed0/nfs_Gymnastics_time.txt,/nfs/speed-scratch/a_idrais/nfs,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_Gymnastics,motion_blur,medium,42,368,0.311101,0.313038,0.002717,216.565979,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_Gymnastics/motion_blur_medium_seed42/nfs_Gymnastics.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_Gymnastics/motion_blur_medium_seed42/nfs_Gymnastics_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_Gymnastics_motion_blur_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_Gymnastics,low_resolution,medium,42,368,0.309786,0.311558,0.002717,219.442444,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_Gymnastics/low_resolution_medium_seed42/nfs_Gymnastics.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_Gymnastics/low_resolution_medium_seed42/nfs_Gymnastics_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_Gymnastics_low_resolution_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_Gymnastics,gaussian_noise,medium,42,368,0.297844,0.299801,0.002717,222.369415,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_Gymnastics/gaussian_noise_medium_seed42/nfs_Gymnastics.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_Gymnastics/gaussian_noise_medium_seed42/nfs_Gymnastics_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_Gymnastics_gaussian_noise_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_basketball_player,clean,none,0,369,0.336812,0.338378,0.005420,198.464813,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_basketball_player/clean_none_seed0/nfs_basketball_player.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_basketball_player/clean_none_seed0/nfs_basketball_player_time.txt,/nfs/speed-scratch/a_idrais/nfs,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_basketball_player,motion_blur,medium,42,369,0.330112,0.331777,0.008130,197.768890,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_basketball_player/motion_blur_medium_seed42/nfs_basketball_player.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_basketball_player/motion_blur_medium_seed42/nfs_basketball_player_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_basketball_player_motion_blur_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_basketball_player,low_resolution,medium,42,369,0.337871,0.339424,0.005420,195.825607,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_basketball_player/low_resolution_medium_seed42/nfs_basketball_player.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_basketball_player/low_resolution_medium_seed42/nfs_basketball_player_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_basketball_player_low_resolution_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_basketball_player,gaussian_noise,medium,42,369,0.382343,0.383482,0.016260,192.111053,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_basketball_player/gaussian_noise_medium_seed42/nfs_basketball_player.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_basketball_player/gaussian_noise_medium_seed42/nfs_basketball_player_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_basketball_player_gaussian_noise_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_car,clean,none,0,2020,0.085902,0.091658,0.000495,383.523499,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_car/clean_none_seed0/nfs_car.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_car/clean_none_seed0/nfs_car_time.txt,/nfs/speed-scratch/a_idrais/nfs,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_car,motion_blur,medium,42,2020,0.074151,0.079914,0.000495,388.015961,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_car/motion_blur_medium_seed42/nfs_car.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_car/motion_blur_medium_seed42/nfs_car_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_car_motion_blur_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_car,low_resolution,medium,42,2020,0.085414,0.091089,0.000495,381.417053,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_car/low_resolution_medium_seed42/nfs_car.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_car/low_resolution_medium_seed42/nfs_car_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_car_low_resolution_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_car,gaussian_noise,medium,42,2020,0.066721,0.073895,0.000495,689.688232,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_car/gaussian_noise_medium_seed42/nfs_car.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_car/gaussian_noise_medium_seed42/nfs_car_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_car_gaussian_noise_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_dog,clean,none,0,1030,0.418495,0.419264,0.005825,159.943039,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_dog/clean_none_seed0/nfs_dog.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_dog/clean_none_seed0/nfs_dog_time.txt,/nfs/speed-scratch/a_idrais/nfs,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_dog,motion_blur,medium,42,1030,0.431427,0.432145,0.008738,156.070663,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_dog/motion_blur_medium_seed42/nfs_dog.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_dog/motion_blur_medium_seed42/nfs_dog_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_dog_motion_blur_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_dog,low_resolution,medium,42,1030,0.418391,0.419168,0.008738,163.471161,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_dog/low_resolution_medium_seed42/nfs_dog.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_dog/low_resolution_medium_seed42/nfs_dog_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_dog_low_resolution_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_dog,gaussian_noise,medium,42,1030,0.429029,0.429828,0.003883,176.879272,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_dog/gaussian_noise_medium_seed42/nfs_dog.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_dog/gaussian_noise_medium_seed42/nfs_dog_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_dog_gaussian_noise_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_running,clean,none,0,677,0.482948,0.483116,0.032496,129.966736,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_running/clean_none_seed0/nfs_running.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_running/clean_none_seed0/nfs_running_time.txt,/nfs/speed-scratch/a_idrais/nfs,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_running,motion_blur,medium,42,677,0.484677,0.484681,0.035451,130.218918,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_running/motion_blur_medium_seed42/nfs_running.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_running/motion_blur_medium_seed42/nfs_running_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_running_motion_blur_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_running,low_resolution,medium,42,677,0.482488,0.482589,0.033973,130.824417,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_running/low_resolution_medium_seed42/nfs_running.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_running/low_resolution_medium_seed42/nfs_running_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_running_low_resolution_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_running,gaussian_noise,medium,42,677,0.487583,0.487664,0.023634,118.610733,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_running/gaussian_noise_medium_seed42/nfs_running.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_running/gaussian_noise_medium_seed42/nfs_running_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_running_gaussian_noise_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_bottle,clean,none,0,2103,0.367531,0.368912,0.023300,217.255005,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_bottle/clean_none_seed0/nfs_bottle.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_bottle/clean_none_seed0/nfs_bottle_time.txt,/nfs/speed-scratch/a_idrais/nfs,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_bottle,motion_blur,medium,42,2103,0.366287,0.367636,0.023300,219.075607,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_bottle/motion_blur_medium_seed42/nfs_bottle.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_bottle/motion_blur_medium_seed42/nfs_bottle_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_bottle_motion_blur_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_bottle,low_resolution,medium,42,2103,0.366668,0.368149,0.020922,218.312500,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_bottle/low_resolution_medium_seed42/nfs_bottle.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_bottle/low_resolution_medium_seed42/nfs_bottle_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_bottle_low_resolution_medium,single-sequence NFS automation
ostrack,vitb_256_mae_ce_32x4_ep300,nfs_bottle,gaussian_noise,medium,42,2103,0.389401,0.390541,0.016643,208.387665,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_bottle/gaussian_noise_medium_seed42/nfs_bottle.txt,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_bottle/gaussian_noise_medium_seed42/nfs_bottle_time.txt,/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/datasets/tiny_sot/degraded/nfs_nfs_bottle_gaussian_noise_medium,single-sequence NFS automation
