upload_filename,upload_path,sha256,pdf_title_metadata,title,authors,year,venue,volume,issue,pages,DOI,pdf_page_count,unique_group_id,duplicate_status,canonical_corpus_id,canonical_upload_filename,likely_duplicate_reason,supervisor_authorship,verified_affiliation
1- A_Very_Fast_and_Robust_Method_for_Refinement_of_Putative_Matches_of_Features_in_MIS_Images_for_Robotic-Assisted_Surgery.pdf,papers/supervisor_style_corpus/manual_uploads/1- A_Very_Fast_and_Robust_Method_for_Refinement_of_Putative_Matches_of_Features_in_MIS_Images_for_Robotic-Assisted_Surgery.pdf,db08cfb27d0f7cc60bf577e7183bd13a60482521bd016b2421eb5629b1ee3766,A Very Fast and Robust Method for Refinement of Putative Matches of Features in MIS Images for Robotic-Assisted Surgery,A Very Fast and Robust Method for Refinement of Putative Matches of Features in MIS Images for Robotic-Assisted Surgery,Muhammad Reza Pourshahabi; M. Omair Ahmad; M. N. S. Swamy,2024,IEEE Transactions on Medical Robotics and Bionics,6,2,419-432,10.1109/TMRB.2024.3369769,14,T1_2024_TMRB_MIS_FMR,canonical,T1_2024_TMRB_MIS_FMR,1- A_Very_Fast_and_Robust_Method_for_Refinement_of_Putative_Matches_of_Features_in_MIS_Images_for_Robotic-Assisted_Surgery.pdf,canonical unique paper,both,First page lists Ahmad and Swamy with Concordia ECE affiliation and Concordia emails.
10-HighBoostNet a deep light-weight image super-resolution network using high-boost residual blocks.pdf,papers/supervisor_style_corpus/manual_uploads/10-HighBoostNet a deep light-weight image super-resolution network using high-boost residual blocks.pdf,c60c2a45a7f4c7968cd5e0a6d49096c8ae80dec9e463997f217d961fe416415c,HighBoostNet: a deep light-weight image super-resolution network using high-boost residual blocks,HighBoostNet: a deep light-weight image super-resolution network using high-boost residual blocks,Alireza Esmaeilzehi; Lei Ma; M. N. S. Swamy; M. Omair Ahmad,2024,The Visual Computer,40,not reported,1111-1129,10.1007/s00371-023-02835-9,19,T1_2024_VISCOMP_HIGHBOOSTNET,canonical,T1_2024_VISCOMP_HIGHBOOSTNET,10-HighBoostNet a deep light-weight image super-resolution network using high-boost residual blocks.pdf,canonical unique paper,both,First page lists Ahmad and Swamy with Concordia ECE affiliation and emails.
11-ACLI_A_CNN_Pruning_Framework_Leveraging_Adjacent_Convolutional_Layer_Interdependence_and_gamma-Weakly_Submodularity.pdf,papers/supervisor_style_corpus/manual_uploads/11-ACLI_A_CNN_Pruning_Framework_Leveraging_Adjacent_Convolutional_Layer_Interdependence_and_gamma-Weakly_Submodularity.pdf,8f7dbc82865a5e510361f864f2e36d84c7c00576de94acd03ec285d8e13e203d,"ACLI: A CNN Pruning Framework Leveraging Adjacent Convolutional Layer Interdependence and <inline-formula><tex-math notation=""LaTeX"">$\gamma$</tex-math><alternatives><mml:math><mml:mi>&#x03B3;</mml:mi></mml:math><inline-graphic xlink:href=""tofigh-ieq1-3610113.gif""/></alternatives></inline-formula>-Weakly Submodularity",ACLI: A CNN Pruning Framework Leveraging Adjacent Convolutional Layer Interdependence and gamma-Weakly Submodularity,Sadegh Tofigh; Mohammad Askarizadeh; M. Omair Ahmad; M. N. S. Swamy; Kim Khoa Nguyen,2026,IEEE Transactions on Pattern Analysis and Machine Intelligence,48,1,932-945,10.1109/TPAMI.2025.3610113,14,T1_2026_TPAMI_ACLI,canonical,T1_2026_TPAMI_ACLI,11-ACLI_A_CNN_Pruning_Framework_Leveraging_Adjacent_Convolutional_Layer_Interdependence_and_gamma-Weakly_Submodularity.pdf,canonical unique paper,both,First page lists Ahmad and Swamy with Concordia ECE affiliation and emails.
12-UADiff_A_Deep_Underwater_Image_Enhancement_Network_Using_Generative_Diffusion_Prior_and_Uncertainty-Aware_Learning.pdf,papers/supervisor_style_corpus/manual_uploads/12-UADiff_A_Deep_Underwater_Image_Enhancement_Network_Using_Generative_Diffusion_Prior_and_Uncertainty-Aware_Learning.pdf,31c434e45e254a3846200f50e2ceddf502e86de0eaa6cd5859e2d94b778b0945,UADiff: A Deep Underwater Image Enhancement Network Using Generative Diffusion Prior and Uncertainty-Aware Learning,UADiff: A Deep Underwater Image Enhancement Network Using Generative Diffusion Prior and Uncertainty-Aware Learning,Yang Ou; Alireza Esmaeilzehi; M. Omair Ahmad; M. N. S. Swamy,2025,IEEE Transactions on Geoscience and Remote Sensing,63,not reported,Article 4208114,10.1109/TGRS.2025.3578927,14,T1_2025_TGRS_UADIFF,likely_duplicate_noncanonical,T1_2025_TGRS_UADIFF,7-UADiff_A_Deep_Underwater_Image_Enhancement_Network_Using_Generative_Diffusion_Prior_and_Uncertainty-Aware_Learning.pdf,bibliographic duplicate: matching title/DOI/page count with canonical copy; SHA differs,both,First page lists Ahmad and Swamy with Concordia ECE affiliation and Concordia emails.
13-DMML_Deep_Multi-Prior_and_Multi-Discriminator_Learning_for_Underwater_Image_Enhancement.pdf,papers/supervisor_style_corpus/manual_uploads/13-DMML_Deep_Multi-Prior_and_Multi-Discriminator_Learning_for_Underwater_Image_Enhancement.pdf,57091184f43fe549fc9553a4b0cb523fc53d328cc4dbb9adc413505ebf611c80,,DMML: Deep Multi-Prior and Multi-Discriminator Learning for Underwater Image Enhancement,Alireza Esmaeilzehi; Yang Ou; M. Omair Ahmad; M. N. S. Swamy,2024,IEEE Transactions on Broadcasting,70,2,637-653,10.1109/TBC.2024.3349773,17,T1_2024_TBC_DMML,likely_duplicate_noncanonical,T1_2024_TBC_DMML,2-DMML_Deep_Multi-Prior_and_Multi-Discriminator_Learning_for_Underwater_Image_Enhancement.pdf,bibliographic duplicate: matching title/DOI/page count with canonical copy; SHA differs,both,First page lists Ahmad and Swamy with Concordia ECE affiliation and Concordia emails.
14-A_Lightweight_Deep_Convolutional_Neural_Network_Extracting_Local_and_Global_Contextual_Features_for_the_Classification_of_Alzheimers_Disease_Using_Structural_MRI.pdf,papers/supervisor_style_corpus/manual_uploads/14-A_Lightweight_Deep_Convolutional_Neural_Network_Extracting_Local_and_Global_Contextual_Features_for_the_Classification_of_Alzheimers_Disease_Using_Structural_MRI.pdf,a3e2ed0d5999153a1a0b83f616dd29f37538d726d912f3d7669f17b2ec6e2b60,A Lightweight Deep Convolutional Neural Network Extracting Local and Global Contextual Features for the Classification of Alzheimer&#x0027;s Disease Using Structural MRI,A Lightweight Deep Convolutional Neural Network Extracting Local and Global Contextual Features for the Classification of Alzheimer's Disease Using Structural MRI,Emimal Jabason; M. Omair Ahmad; M. N. S. Swamy,2025,IEEE Journal of Biomedical and Health Informatics,29,3,2061-2073,10.1109/JBHI.2024.3512417,13,T1_2025_JBHI_ALZ_CNN,likely_duplicate_noncanonical,T1_2025_JBHI_ALZ_CNN,8-A_Lightweight_Deep_Convolutional_Neural_Network_Extracting_Local_and_Global_Contextual_Features_for_the_Classification_of_Alzheimers_Disease_Using_Structural_MRI.pdf,bibliographic duplicate: matching title/DOI/page count with canonical copy; SHA differs,both,First page lists all authors with Concordia ECE affiliation and emails.
15-Ultralight-Weight_Three-Prior_Convolutional_Neural_Network_for_Single_Image_Super_Resolution.pdf,papers/supervisor_style_corpus/manual_uploads/15-Ultralight-Weight_Three-Prior_Convolutional_Neural_Network_for_Single_Image_Super_Resolution.pdf,f46c4b9935a70d4c8f1713a05eb52c7c50ffa422b006b9ca07e2993bfd7e398a,Ultralight-Weight Three-Prior Convolutional Neural Network for Single Image Super Resolution,Ultralight-Weight Three-Prior Convolutional Neural Network for Single Image Super Resolution,Alireza Esmaeilzehi; M. Omair Ahmad; M. N. S. Swamy,2023,IEEE Transactions on Artificial Intelligence,4,6,1724-1738,10.1109/TAI.2022.3224417,15,T1_2023_TAI_THREE_PRIOR_SR,canonical,T1_2023_TAI_THREE_PRIOR_SR,15-Ultralight-Weight_Three-Prior_Convolutional_Neural_Network_for_Single_Image_Super_Resolution.pdf,canonical unique paper,both,First page lists all authors with Concordia ECE affiliation and emails.
16-SRNSSI_A_Deep_Light-Weight_Network_for_Single_Image_Super_Resolution_Using_Spatial_and_Spectral_Information.pdf,papers/supervisor_style_corpus/manual_uploads/16-SRNSSI_A_Deep_Light-Weight_Network_for_Single_Image_Super_Resolution_Using_Spatial_and_Spectral_Information.pdf,49adfdd01a707cf893ea03395ef3ef6d12fa3b7231732b46ccbf7c2a80082478,SRNSSI: A Deep Light-Weight Network for Single Image Super Resolution Using Spatial and Spectral Information,SRNSSI: A Deep Light-Weight Network for Single Image Super Resolution Using Spatial and Spectral Information,Alireza Esmaeilzehi; M. Omair Ahmad; M. N. S. Swamy,2021,IEEE Transactions on Computational Imaging,7,not reported,409-421,10.1109/TCI.2021.3070522,13,T1_2021_TCI_SRNSSI,canonical,T1_2021_TCI_SRNSSI,16-SRNSSI_A_Deep_Light-Weight_Network_for_Single_Image_Super_Resolution_Using_Spatial_and_Spectral_Information.pdf,canonical unique paper,both,First page lists all authors with Concordia ECE affiliation and emails.
17-UPDResNN_A_Deep_Light-Weight_Image_Upsampling_and_Deblurring_Residual_Neural_Network.pdf,papers/supervisor_style_corpus/manual_uploads/17-UPDResNN_A_Deep_Light-Weight_Image_Upsampling_and_Deblurring_Residual_Neural_Network.pdf,cd2a9d3ac4cfb6d3836b96f314c6e8584cf2d21f6b14dc7cee727172fe671aff,UPDResNN: A Deep Light-Weight Image Upsampling and Deblurring Residual Neural Network,UPDResNN: A Deep Light-Weight Image Upsampling and Deblurring Residual Neural Network,Alireza Esmaeilzehi; M. Omair Ahmad; M. N. S. Swamy,2021,IEEE Transactions on Broadcasting,67,2,538-548,10.1109/TBC.2021.3068862,11,T1_2021_TBC_UPDRESNN,canonical,T1_2021_TBC_UPDRESNN,17-UPDResNN_A_Deep_Light-Weight_Image_Upsampling_and_Deblurring_Residual_Neural_Network.pdf,canonical unique paper,both,First page lists all authors with Concordia ECE affiliation and emails.
18-UPDResNN_A_Deep_Light-Weight_Image_Upsampling_and_Deblurring_Residual_Neural_Network.pdf,papers/supervisor_style_corpus/manual_uploads/18-UPDResNN_A_Deep_Light-Weight_Image_Upsampling_and_Deblurring_Residual_Neural_Network.pdf,0f2b04bd80bd9511b4648bc76ad59b8c9d03524d05d291bb9e1b89e2e3c29a1f,UPDResNN: A Deep Light-Weight Image Upsampling and Deblurring Residual Neural Network,UPDResNN: A Deep Light-Weight Image Upsampling and Deblurring Residual Neural Network,Alireza Esmaeilzehi; M. Omair Ahmad; M. N. S. Swamy,2021,IEEE Transactions on Broadcasting,67,2,538-548,10.1109/TBC.2021.3068862,11,T1_2021_TBC_UPDRESNN,likely_duplicate_noncanonical,T1_2021_TBC_UPDRESNN,17-UPDResNN_A_Deep_Light-Weight_Image_Upsampling_and_Deblurring_Residual_Neural_Network.pdf,bibliographic duplicate: matching title/DOI/page count with canonical copy; SHA differs,both,First page lists all authors with Concordia ECE affiliation and emails.
