sequence,is_control_sequence,degradation,severity,seed,audit_frame_position,actual_frame_number,image_path,image_exists,image_width,image_height,annotation_source_mode,raw_annotation_file,raw_annotation_line_number_1based,raw_annotation_text,parsed_numeric_columns,raw_column_count,numeric_column_count,has_frame_index_or_timestamp_column,raw_frame_index_column_value,raw_frame_index_matches_sampled_source_line,raw_frame_index_matches_constructed_frame_number,detected_delimiter,expected_ostrack_frame_count,raw_annotation_line_count,aligned_annotation_count_project_sampler,project_sampler_stride,ostrack_loader_annotation_rows_after_init_omit,candidate_a_direct_xywh,candidate_a_plausible,candidate_a_reason,candidate_b_direct_xyxy_to_xywh,candidate_b_plausible,candidate_b_reason,candidate_c_raw_nfs_xyxy_to_xywh,candidate_c_plausible,candidate_c_reason,inferred_raw_annotation_format,baseline_prediction_status,baseline_result_path,baseline_prediction_box_if_loaded,rgssb_prediction_status,rgssb_result_path,rgssb_prediction_box_if_loaded
nfs_cheetah,False,low_resolution,medium,42,26,26,/media/abdel/4484139E5D690B76/nfs/cheetah.zip:cheetah/30/cheetah/00026.jpg,True,1280,720,zip_raw_nfs,/media/abdel/4484139E5D690B76/nfs/cheetah.zip:cheetah/30/cheetah.txt,201,"0 400 263 800 515 201 0 1 1 ""animal""","[0.0, 400.0, 263.0, 800.0, 515.0, 201.0, 0.0, 1.0, 1.0]",10,9,True,201,True,False,whitespace,167,1329,167,8,1329,"[0.0, 400.0, 263.0, 800.0]",False,outside_image_area_ratio_0.2283,"[0.0, 400.0, 263.0, 400.0]",False,outside_image_area_ratio_0.1141,"[400.0, 263.0, 400.0, 252.0]",True,inside_image_area_ratio_0.1094,raw_nfs_columns_1_4_xyxy,missing_result_file,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_cheetah/low_resolution_medium_seed42/nfs_cheetah.txt,,missing_result_file,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_cheetah/low_resolution_medium_seed42/nfs_cheetah.txt,
nfs_cheetah,False,low_resolution,medium,42,40,40,/media/abdel/4484139E5D690B76/nfs/cheetah.zip:cheetah/30/cheetah/00040.jpg,True,1280,720,zip_raw_nfs,/media/abdel/4484139E5D690B76/nfs/cheetah.zip:cheetah/30/cheetah.txt,313,"0 465 264 792 512 313 0 1 1 ""animal""","[0.0, 465.0, 264.0, 792.0, 512.0, 313.0, 0.0, 1.0, 1.0]",10,9,True,313,True,False,whitespace,167,1329,167,8,1329,"[0.0, 465.0, 264.0, 792.0]",False,outside_image_area_ratio_0.2269,"[0.0, 465.0, 264.0, 327.0]",False,outside_image_area_ratio_0.0937,"[465.0, 264.0, 327.0, 248.0]",True,inside_image_area_ratio_0.0880,raw_nfs_columns_1_4_xyxy,missing_result_file,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_cheetah/low_resolution_medium_seed42/nfs_cheetah.txt,,missing_result_file,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_cheetah/low_resolution_medium_seed42/nfs_cheetah.txt,
nfs_cheetah,False,low_resolution,medium,42,45,45,/media/abdel/4484139E5D690B76/nfs/cheetah.zip:cheetah/30/cheetah/00045.jpg,True,1280,720,zip_raw_nfs,/media/abdel/4484139E5D690B76/nfs/cheetah.zip:cheetah/30/cheetah.txt,353,"0 484 264 792 510 353 0 1 1 ""animal""","[0.0, 484.0, 264.0, 792.0, 510.0, 353.0, 0.0, 1.0, 1.0]",10,9,True,353,True,False,whitespace,167,1329,167,8,1329,"[0.0, 484.0, 264.0, 792.0]",False,outside_image_area_ratio_0.2269,"[0.0, 484.0, 264.0, 308.0]",False,outside_image_area_ratio_0.0882,"[484.0, 264.0, 308.0, 246.0]",True,inside_image_area_ratio_0.0822,raw_nfs_columns_1_4_xyxy,missing_result_file,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_cheetah/low_resolution_medium_seed42/nfs_cheetah.txt,,missing_result_file,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_cheetah/low_resolution_medium_seed42/nfs_cheetah.txt,
nfs_walking,False,gaussian_noise,medium,42,80,80,/media/abdel/4484139E5D690B76/nfs/walking.zip:walking/30/walking/00080.jpg,True,720,1280,zip_raw_nfs,/media/abdel/4484139E5D690B76/nfs/walking.zip:walking/30/walking.txt,633,"0 278 474 364 745 633 0 0 1 ""person""","[0.0, 278.0, 474.0, 364.0, 745.0, 633.0, 0.0, 0.0, 1.0]",10,9,True,633,True,False,whitespace,555,4433,555,8,4433,"[0.0, 278.0, 474.0, 364.0]",True,inside_image_area_ratio_0.1872,"[0.0, 278.0, 474.0, 86.0]",True,inside_image_area_ratio_0.0442,"[278.0, 474.0, 86.0, 271.0]",True,inside_image_area_ratio_0.0253,raw_nfs_columns_1_4_xyxy,missing_result_file,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_walking/gaussian_noise_medium_seed42/nfs_walking.txt,,missing_result_file,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_walking/gaussian_noise_medium_seed42/nfs_walking.txt,
nfs_walking,False,gaussian_noise,medium,42,111,111,/media/abdel/4484139E5D690B76/nfs/walking.zip:walking/30/walking/00111.jpg,True,720,1280,zip_raw_nfs,/media/abdel/4484139E5D690B76/nfs/walking.zip:walking/30/walking.txt,881,"0 235 451 331 736 881 0 0 1 ""person""","[0.0, 235.0, 451.0, 331.0, 736.0, 881.0, 0.0, 0.0, 1.0]",10,9,True,881,True,False,whitespace,555,4433,555,8,4433,"[0.0, 235.0, 451.0, 331.0]",True,inside_image_area_ratio_0.1620,"[0.0, 235.0, 451.0, 96.0]",True,inside_image_area_ratio_0.0470,"[235.0, 451.0, 96.0, 285.0]",True,inside_image_area_ratio_0.0297,raw_nfs_columns_1_4_xyxy,missing_result_file,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_walking/gaussian_noise_medium_seed42/nfs_walking.txt,,missing_result_file,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_walking/gaussian_noise_medium_seed42/nfs_walking.txt,
nfs_walking,False,gaussian_noise,medium,42,338,338,/media/abdel/4484139E5D690B76/nfs/walking.zip:walking/30/walking/00338.jpg,True,720,1280,zip_raw_nfs,/media/abdel/4484139E5D690B76/nfs/walking.zip:walking/30/walking.txt,2697,"0 291 469 417 820 2697 0 0 1 ""person""","[0.0, 291.0, 469.0, 417.0, 820.0, 2697.0, 0.0, 0.0, 1.0]",10,9,True,2697,True,False,whitespace,555,4433,555,8,4433,"[0.0, 291.0, 469.0, 417.0]",True,inside_image_area_ratio_0.2122,"[0.0, 291.0, 469.0, 126.0]",True,inside_image_area_ratio_0.0641,"[291.0, 469.0, 126.0, 351.0]",True,inside_image_area_ratio_0.0480,raw_nfs_columns_1_4_xyxy,missing_result_file,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_walking/gaussian_noise_medium_seed42/nfs_walking.txt,,missing_result_file,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_walking/gaussian_noise_medium_seed42/nfs_walking.txt,
nfs_walking,False,gaussian_noise,medium,42,343,343,/media/abdel/4484139E5D690B76/nfs/walking.zip:walking/30/walking/00343.jpg,True,720,1280,zip_raw_nfs,/media/abdel/4484139E5D690B76/nfs/walking.zip:walking/30/walking.txt,2737,"0 305 431 430 794 2737 0 0 0 ""person""","[0.0, 305.0, 431.0, 430.0, 794.0, 2737.0, 0.0, 0.0, 0.0]",10,9,True,2737,True,False,whitespace,555,4433,555,8,4433,"[0.0, 305.0, 431.0, 430.0]",True,inside_image_area_ratio_0.2011,"[0.0, 305.0, 431.0, 125.0]",True,inside_image_area_ratio_0.0585,"[305.0, 431.0, 125.0, 363.0]",True,inside_image_area_ratio_0.0492,raw_nfs_columns_1_4_xyxy,missing_result_file,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_walking/gaussian_noise_medium_seed42/nfs_walking.txt,,missing_result_file,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_walking/gaussian_noise_medium_seed42/nfs_walking.txt,
nfs_walking,False,gaussian_noise,medium,42,374,374,/media/abdel/4484139E5D690B76/nfs/walking.zip:walking/30/walking/00374.jpg,True,720,1280,zip_raw_nfs,/media/abdel/4484139E5D690B76/nfs/walking.zip:walking/30/walking.txt,2985,"0 287 426 410 788 2985 0 0 1 ""person""","[0.0, 287.0, 426.0, 410.0, 788.0, 2985.0, 0.0, 0.0, 1.0]",10,9,True,2985,True,False,whitespace,555,4433,555,8,4433,"[0.0, 287.0, 426.0, 410.0]",True,inside_image_area_ratio_0.1895,"[0.0, 287.0, 426.0, 123.0]",True,inside_image_area_ratio_0.0569,"[287.0, 426.0, 123.0, 362.0]",True,inside_image_area_ratio_0.0483,raw_nfs_columns_1_4_xyxy,missing_result_file,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_walking/gaussian_noise_medium_seed42/nfs_walking.txt,,missing_result_file,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_walking/gaussian_noise_medium_seed42/nfs_walking.txt,
nfs_walking,False,motion_blur,medium,42,80,80,/media/abdel/4484139E5D690B76/nfs/walking.zip:walking/30/walking/00080.jpg,True,720,1280,zip_raw_nfs,/media/abdel/4484139E5D690B76/nfs/walking.zip:walking/30/walking.txt,633,"0 278 474 364 745 633 0 0 1 ""person""","[0.0, 278.0, 474.0, 364.0, 745.0, 633.0, 0.0, 0.0, 1.0]",10,9,True,633,True,False,whitespace,555,4433,555,8,4433,"[0.0, 278.0, 474.0, 364.0]",True,inside_image_area_ratio_0.1872,"[0.0, 278.0, 474.0, 86.0]",True,inside_image_area_ratio_0.0442,"[278.0, 474.0, 86.0, 271.0]",True,inside_image_area_ratio_0.0253,raw_nfs_columns_1_4_xyxy,missing_result_file,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_walking/motion_blur_medium_seed42/nfs_walking.txt,,missing_result_file,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_walking/motion_blur_medium_seed42/nfs_walking.txt,
nfs_walking,False,motion_blur,medium,42,111,111,/media/abdel/4484139E5D690B76/nfs/walking.zip:walking/30/walking/00111.jpg,True,720,1280,zip_raw_nfs,/media/abdel/4484139E5D690B76/nfs/walking.zip:walking/30/walking.txt,881,"0 235 451 331 736 881 0 0 1 ""person""","[0.0, 235.0, 451.0, 331.0, 736.0, 881.0, 0.0, 0.0, 1.0]",10,9,True,881,True,False,whitespace,555,4433,555,8,4433,"[0.0, 235.0, 451.0, 331.0]",True,inside_image_area_ratio_0.1620,"[0.0, 235.0, 451.0, 96.0]",True,inside_image_area_ratio_0.0470,"[235.0, 451.0, 96.0, 285.0]",True,inside_image_area_ratio_0.0297,raw_nfs_columns_1_4_xyxy,missing_result_file,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300/nfs/nfs_walking/motion_blur_medium_seed42/nfs_walking.txt,,missing_result_file,outputs/ostrack_runs/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/nfs/nfs_walking/motion_blur_medium_seed42/nfs_walking.txt,
