model_label,config,measurement_type,repetition,gpu_name,torch_version,cuda_version,sequence,frames,warmup_frames,initialization_ms,mean_latency_ms,median_latency_ms,latency_std_ms,fps,peak_allocated_memory_mb,peak_reserved_memory_mb,total_params,trainable_params,frozen_params,backbone_params,rgssb_params,box_head_params,checkpoint_size_mb,flops_or_macs,provenance,notes
OSTrack baseline,vitb_256_mae_ce_32x4_ep300,complexity,,,1.13.1+cu117,11.7,,,,,,,,,,,92518533,92518533,0,86044416,0,6474117,353.030442,unavailable,model_build_without_tracking,freeze_mode=none; trainable_tensors=206; checkpoint=/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/external/OSTrack/output/checkpoints/train/ostrack/vitb_256_mae_ce_32x4_ep300/OSTrack_ep0300.pth.tar; parameter_increase_vs_baseline=0
"RG-SSB + head, global feature consistency lambda 0.02",vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002,complexity,,,1.13.1+cu117,11.7,,,,,,,,,,,94598469,8554053,86044416,86044416,2079936,6474117,426.400317,unavailable,model_build_without_tracking,freeze_mode=rgssb_head; trainable_tensors=70; checkpoint=/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/external/OSTrack/output/checkpoints/train/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/OSTrack_ep0010.pth.tar; parameter_increase_vs_baseline=2079936
OSTrack baseline,vitb_256_mae_ce_32x4_ep300,controlled_runtime,1,Tesla V100-PCIE-32GB,1.13.1+cu117,11.7,Car1,969,50,7.320472,10.736737,10.654829,0.702248,93.138166,380.232910,434.000000,,,,,,,,,controlled_same_gpu_runtime,checkpoint=/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/external/OSTrack/output/checkpoints/train/ostrack/vitb_256_mae_ce_32x4_ep300/OSTrack_ep0300.pth.tar; logical_cuda_device=0; CUDA_VISIBLE_DEVICES=0; timestamp=2026-06-22T15:13:31.794217+00:00
OSTrack baseline,vitb_256_mae_ce_32x4_ep300,controlled_runtime,2,Tesla V100-PCIE-32GB,1.13.1+cu117,11.7,Car1,969,50,0.804037,10.731522,10.686464,0.513941,93.183425,380.232910,434.000000,,,,,,,,,controlled_same_gpu_runtime,checkpoint=/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/external/OSTrack/output/checkpoints/train/ostrack/vitb_256_mae_ce_32x4_ep300/OSTrack_ep0300.pth.tar; logical_cuda_device=0; CUDA_VISIBLE_DEVICES=0; timestamp=2026-06-22T15:13:42.748313+00:00
OSTrack baseline,vitb_256_mae_ce_32x4_ep300,controlled_runtime,3,Tesla V100-PCIE-32GB,1.13.1+cu117,11.7,Car1,969,50,0.722903,10.704323,10.664572,0.571725,93.420200,380.232910,434.000000,,,,,,,,,controlled_same_gpu_runtime,checkpoint=/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/external/OSTrack/output/checkpoints/train/ostrack/vitb_256_mae_ce_32x4_ep300/OSTrack_ep0300.pth.tar; logical_cuda_device=0; CUDA_VISIBLE_DEVICES=0; timestamp=2026-06-22T15:13:53.673247+00:00
OSTrack baseline,vitb_256_mae_ce_32x4_ep300,controlled_runtime_aggregate,aggregate,Tesla V100-PCIE-32GB,1.13.1+cu117,11.7,Car1,969,50,2.949137,10.724194,10.668622,0.595971,93.247101,380.232910,434.000000,,,,,,,,,controlled_same_gpu_runtime,aggregate_over_repetitions
"RG-SSB + head, global feature consistency lambda 0.02",vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002,controlled_runtime,1,Tesla V100-PCIE-32GB,1.13.1+cu117,11.7,Car1,969,50,7.984401,11.561742,11.503412,0.494249,86.492154,388.917480,434.000000,,,,,,,,,controlled_same_gpu_runtime,checkpoint=/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/external/OSTrack/output/checkpoints/train/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/OSTrack_ep0010.pth.tar; logical_cuda_device=0; CUDA_VISIBLE_DEVICES=0; timestamp=2026-06-22T15:14:24.299554+00:00
"RG-SSB + head, global feature consistency lambda 0.02",vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002,controlled_runtime,2,Tesla V100-PCIE-32GB,1.13.1+cu117,11.7,Car1,969,50,0.749330,11.518927,11.469289,0.481799,86.813638,388.917480,434.000000,,,,,,,,,controlled_same_gpu_runtime,checkpoint=/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/external/OSTrack/output/checkpoints/train/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/OSTrack_ep0010.pth.tar; logical_cuda_device=0; CUDA_VISIBLE_DEVICES=0; timestamp=2026-06-22T15:14:36.054005+00:00
"RG-SSB + head, global feature consistency lambda 0.02",vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002,controlled_runtime,3,Tesla V100-PCIE-32GB,1.13.1+cu117,11.7,Car1,969,50,0.761338,11.495050,11.446408,0.511455,86.993969,388.917480,434.000000,,,,,,,,,controlled_same_gpu_runtime,checkpoint=/nfs/speed-scratch/a_idrais/Paper_2_Mamba_Tracking/external/OSTrack/output/checkpoints/train/ostrack/vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002/OSTrack_ep0010.pth.tar; logical_cuda_device=0; CUDA_VISIBLE_DEVICES=0; timestamp=2026-06-22T15:14:47.784863+00:00
"RG-SSB + head, global feature consistency lambda 0.02",vitb_256_mae_ce_32x4_ep300_rgssb_head_train_lasot_degraded_hpc_featcons_lam002,controlled_runtime_aggregate,aggregate,Tesla V100-PCIE-32GB,1.13.1+cu117,11.7,Car1,969,50,3.165023,11.525240,11.473036,0.495834,86.766092,388.917480,434.000000,,,,,,,,,controlled_same_gpu_runtime,aggregate_over_repetitions
