benchmark,sequence,condition,baseline_auc,rgssb_auc,auc_change,baseline_precision_20,rgssb_precision_20,precision_change,baseline_mean_center_error,rgssb_mean_center_error,center_error_change,best_method,notes
OTB,Car1,clean,0.575995,0.614240,+0.038245,0.746078,0.806863,+0.060785,16.455626,13.180775,-3.274851,RG-SSB,RG-SSB improves AUC
OTB,Car1,motion_blur_medium,0.157212,0.193254,+0.036042,0.198039,0.259804,+0.061765,82.957024,75.900475,-7.056549,RG-SSB,RG-SSB improves AUC
OTB,Car1,low_resolution_medium,0.214881,0.227820,+0.012939,0.267647,0.301961,+0.034314,55.176579,57.360058,+2.183479,RG-SSB,RG-SSB near neutral
OTB,Car1,gaussian_noise_medium,0.207270,0.260794,+0.053524,0.250980,0.329412,+0.078432,64.898727,57.147617,-7.751110,RG-SSB,RG-SSB improves AUC
OTB,David2,clean,0.794439,0.797666,+0.003227,1.000000,1.000000,+0.000000,1.541015,1.526944,-0.014071,RG-SSB,RG-SSB near neutral
OTB,David2,motion_blur_medium,0.549680,0.616959,+0.067279,0.970205,0.970205,+0.000000,8.078309,6.209242,-1.869067,RG-SSB,RG-SSB improves AUC
OTB,David2,low_resolution_medium,0.806258,0.802201,-0.004057,1.000000,1.000000,+0.000000,1.516361,1.492518,-0.023843,OSTrack,RG-SSB near neutral
OTB,David2,gaussian_noise_medium,0.817542,0.779339,-0.038203,1.000000,0.988827,-0.011173,1.885668,2.576079,+0.690411,OSTrack,OSTrack baseline higher by AUC
OTB,Coke,clean,0.758259,0.762751,+0.004492,0.958763,0.958763,+0.000000,5.797408,6.259025,+0.461617,RG-SSB,RG-SSB near neutral
OTB,Coke,motion_blur_medium,0.700384,0.722126,+0.021742,0.945017,0.934708,-0.010309,7.648194,7.901353,+0.253159,RG-SSB,RG-SSB improves AUC
OTB,Coke,low_resolution_medium,0.745875,0.750026,+0.004151,0.945017,0.948454,+0.003437,6.493616,7.011554,+0.517938,RG-SSB,RG-SSB near neutral
OTB,Coke,gaussian_noise_medium,0.746759,0.748460,+0.001701,0.951890,0.945017,-0.006873,6.327523,6.569547,+0.242024,RG-SSB,RG-SSB near neutral
OTB,Walking,clean,0.787297,0.780929,-0.006368,1.000000,1.000000,+0.000000,1.684909,1.795651,+0.110742,OSTrack,RG-SSB near neutral
OTB,Walking,motion_blur_medium,0.759276,0.787561,+0.028285,1.000000,1.000000,+0.000000,1.691248,1.787445,+0.096197,RG-SSB,RG-SSB improves AUC
OTB,Walking,low_resolution_medium,0.788114,0.779751,-0.008363,1.000000,1.000000,+0.000000,1.604082,1.746493,+0.142411,OSTrack,RG-SSB near neutral
OTB,Walking,gaussian_noise_medium,0.793449,0.788523,-0.004926,1.000000,1.000000,+0.000000,1.611455,1.707908,+0.096453,OSTrack,RG-SSB near neutral
OTB,Walking2,clean,0.784772,0.821426,+0.036654,0.924000,1.000000,+0.076000,5.113229,1.667378,-3.445851,RG-SSB,RG-SSB improves AUC
OTB,Walking2,motion_blur_medium,0.377287,0.445050,+0.067763,0.550000,0.614000,+0.064000,35.787457,31.939129,-3.848328,RG-SSB,RG-SSB improves AUC
OTB,Walking2,low_resolution_medium,0.364673,0.819188,+0.454515,0.398000,1.000000,+0.602000,47.968578,1.876525,-46.092053,RG-SSB,RG-SSB improves AUC
OTB,Walking2,gaussian_noise_medium,0.477089,0.739881,+0.262792,0.604000,0.938000,+0.334000,31.741293,5.633838,-26.107455,RG-SSB,RG-SSB improves AUC
OTB,FaceOcc1,clean,0.586478,0.598555,+0.012077,0.547085,0.567265,+0.020180,23.393078,23.751312,+0.358234,RG-SSB,RG-SSB near neutral
OTB,FaceOcc1,motion_blur_medium,0.609943,0.630600,+0.020657,0.634529,0.671525,+0.036996,18.721224,19.050510,+0.329286,RG-SSB,RG-SSB improves AUC
OTB,FaceOcc1,low_resolution_medium,0.599476,0.612119,+0.012643,0.614350,0.591928,-0.022422,21.292782,21.719454,+0.426672,RG-SSB,RG-SSB near neutral
OTB,FaceOcc1,gaussian_noise_medium,0.649680,0.660092,+0.010412,0.705157,0.746637,+0.041480,17.962036,16.899437,-1.062599,RG-SSB,RG-SSB near neutral
OTB,Dog1,clean,0.861188,0.862926,+0.001738,1.000000,1.000000,+0.000000,2.485723,2.420704,-0.065019,RG-SSB,RG-SSB near neutral
