paper_title,category,already_in_bibliography,already_cited,publication_status,verified_year,verified_venue,DOI,arXiv_id,selected_for_related_work,supported_claim,notes
"Mamba: Linear-Time Sequence Modeling with Selective State Spaces","State-space and visual Mamba foundations","Yes","Yes","peer-reviewed conference","2024","First Conference on Language Modeling","not reported","2312.00752","Yes","Selective state-space modeling provides a foundation for efficient long-range sequence modeling.","Existing authoritative record preserved; DOI not reported in local bibliography."
"Vision Mamba: Efficient Visual Representation Learning with Bidirectional State Space Model","State-space and visual Mamba foundations","Yes","Yes","peer-reviewed conference","2024","Proceedings of the 41st International Conference on Machine Learning","not reported","2401.09417","Yes","Bidirectional Mamba blocks have been adapted to visual representation learning.","Existing authoritative record preserved."
"VMamba: Visual State Space Model","State-space and visual Mamba foundations","Yes","Yes","arXiv preprint; final publication not independently confirmed","2024","arXiv","10.48550/arXiv.2401.10166","2401.10166","Yes","Visual state-space blocks and 2D selective scanning support Mamba-style vision backbones.","No final venue confirmed during audit."
"MambaIR: A Simple Baseline for Image Restoration with State-Space Model","Restoration-oriented Mamba","Yes","Yes","accepted peer-reviewed conference","2024","European Conference on Computer Vision","10.48550/arXiv.2402.15648","2402.15648","Yes","MambaIR adapts state-space modeling to restoration with local enhancement and channel attention.","Bibliography updated with arXiv identifier; final page metadata not confirmed from publisher during audit."
"MambaIRv2: Attentive State Space Restoration","Restoration-oriented Mamba","Yes","Yes","peer-reviewed conference","2025","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition","10.48550/arXiv.2411.15269","2411.15269","Yes","MambaIRv2 adds attentive state-space restoration and semantic-guided neighboring for image restoration.","CVF confirmed pages 28124--28133; bibliography updated."
"Mamba-FETrack: Frame-Event Tracking via State Space Model","Mamba-based tracking","Yes","Yes","arXiv preprint; in peer review on arXiv record","2024","arXiv","10.48550/arXiv.2404.18174","2404.18174","Yes","Mamba is used for RGB-event feature extraction and cross-modal interaction.","No final venue confirmed during audit."
"MambaEVT: Event Stream Based Visual Object Tracking Using State Space Model","Mamba-based tracking","Yes","Yes","arXiv preprint; in peer review on arXiv record","2024","arXiv","10.48550/arXiv.2408.10487","2408.10487","Yes","Mamba is used for event-stream tracking and Memory Mamba dynamic template generation.","Local paper card lists a 2026 IEEE Transactions venue, but independent web verification found only the arXiv record."
"MambaNUT: Nighttime UAV Tracking via Mamba-Based Adaptive Curriculum Learning","Mamba-based tracking; degraded observations","Yes","Yes","arXiv preprint; final publication not independently confirmed","2024","arXiv","10.48550/arXiv.2412.00626","2412.00626","Yes","Nighttime UAV tracking can be addressed with a one-stream Vision Mamba tracker and adaptive curriculum learning.","Local paper card lists IROS 2025, but independent web verification found only the arXiv record."
"MambaLCT: Boosting Tracking via Long-term Context State Space Model","Mamba-based tracking; temporal modeling","Yes","Yes","arXiv preprint; final publication not independently confirmed","2024","arXiv","10.48550/arXiv.2412.13615","2412.13615","Yes","Mamba can be used for long-term temporal context aggregation in tracking.","Local paper card lists AAAI 2025, but independent web verification found only the arXiv record."
"Mamba-FETrack V2: Revisiting State Space Model for Frame-Event Based Visual Object Tracking","Mamba-based tracking","No","No","arXiv preprint; journal extension of PRCV 2024 paper according to arXiv comments","2025","arXiv","10.48550/arXiv.2506.23783","2506.23783","Yes","Recent RGB-event Mamba tracking uses prompt-guided feature extraction and fusion rather than RGB-only restoration-guided search adaptation.","Added to bibliography and Related Work."
"OSTrack: Joint Feature Learning and Relation Modeling for Tracking: A One-Stream Framework","Recent general tracking","Yes","Yes","peer-reviewed conference","2022","Computer Vision -- ECCV 2022","10.1007/978-3-031-20047-2_20","2203.11991","Yes","OSTrack provides the one-stream baseline and template-search feature path used by the present paper.","Existing authoritative Springer DOI record preserved."
"MixFormer: End-to-End Tracking with Iterative Mixed Attention","Recent general tracking","Yes","Yes","peer-reviewed conference","2022","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition","not reported","2203.11082","Yes","Mixed attention supports simultaneous feature extraction and target-information integration.","Existing record preserved; page metadata was not expanded."
"SeqTrack: Sequence to Sequence Learning for Visual Object Tracking","Recent general tracking","No","No","peer-reviewed conference","2023","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition","not reported","2304.14394","Yes","Tracking can be formulated as autoregressive sequence generation of bounding boxes.","CVF confirmed pages 14572--14581; added to bibliography."
"ARTrackV2: Prompting Autoregressive Tracker Where to Look and How to Describe","Recent general tracking","No","No","arXiv preprint; final publication not independently confirmed","2023","arXiv","10.48550/arXiv.2312.17133","2312.17133","No","Candidate supports autoregressive tracking, but SeqTrack and AQATrack already cover the needed synthesis.","Not selected to avoid redundant citation density."
"ROMTrack: Robust Object Modeling for Visual Tracking","Recent general tracking","No","No","peer-reviewed conference","2023","Proceedings of the IEEE/CVF International Conference on Computer Vision","not reported","2308.05140","Yes","Robust object modeling combines inherent and hybrid template features for target representation.","CVF confirmed pages 9589--9600; added to bibliography."
"HIPTrack: Visual Tracking with Historical Prompts","Recent general tracking; temporal modeling","No","No","peer-reviewed conference","2024","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition","not reported","2311.02072","Yes","Historical prompts provide target-history information without retraining the whole tracker.","CVF confirmed pages 19258--19267; added to bibliography."
"ODTrack: Online Dense Temporal Token Learning for Visual Tracking","Recent general tracking; temporal modeling","No","No","arXiv preprint; final publication not independently confirmed","2024","arXiv","10.48550/arXiv.2401.01686","2401.01686","Yes","Online dense temporal token propagation supports video-level tracking context.","Added as arXiv-only."
"LoRAT: Tracking Meets LoRA: Faster Training, Larger Model, Stronger Performance","Recent general tracking","No","No","accepted peer-reviewed conference","2024","European Conference on Computer Vision","10.48550/arXiv.2403.05231","2403.05231","Yes","Parameter-efficient LoRA-style adaptation enables larger ViT trackers without changing inference latency.","Added to bibliography; final page metadata not confirmed from publisher during audit."
"AQATrack: Autoregressive Queries for Adaptive Tracking with Spatio-Temporal Transformers","Recent general tracking; temporal modeling","No","No","arXiv preprint; final publication not independently confirmed","2024","arXiv","10.48550/arXiv.2403.10574","2403.10574","Yes","Autoregressive queries support spatio-temporal target adaptation.","Added as arXiv-only."
"Low-Light Object Tracking: A Benchmark","Degradation and difficult-condition tracking","Yes","Yes","arXiv preprint; final publication not independently confirmed","2024","arXiv","10.48550/arXiv.2408.11463","2408.11463","Yes","Low-light tracking is an existing benchmarked problem and cannot be claimed as absent.","Existing record preserved."
"Camouflaged Object Tracking: A Benchmark","Degradation and difficult-condition tracking","No","No","not verified during audit","not verified","not verified","not verified","not verified","No","Optional candidate was not needed for the final synthesis.","Not selected because the current paper focuses on image-quality degradation rather than camouflage."
"InvTrack: Efficient Deep Object Tracking Neural Network with Invariant Feature Learning","Degradation and difficult-condition tracking","Yes","Yes","local unpublished evidence","not confirmed","local PDF only","not confirmed","not applicable","Yes","Degradation-invariant tracking with clean/degraded branches, feature consistency, and response-map fusion is already present in local evidence.","Kept as local evidence; not upgraded because publication metadata remains unresolved."
