sequence,condition,degradation,severity,seed,baseline_auc,full3000_auc,balanced3000_auc,featcons_lambda_0.05_auc,featcons_lambda_0.02_auc,featcons_lambda_0.10_auc,best_model_by_auc,best_feature_consistency_lambda_by_auc,lambda_0.02_vs_baseline_auc_change,lambda_0.05_vs_baseline_auc_change,lambda_0.10_vs_baseline_auc_change,lambda_0.02_vs_full3000_auc_change,lambda_0.05_vs_full3000_auc_change,lambda_0.10_vs_full3000_auc_change,best_lambda_precision_20,best_lambda_mean_center_error,note
Car1,clean,clean,none,0,0.575995,0.627500,0.615366,0.573199,0.583557,0.649913,lambda_0.10,0.10,+0.007562,-0.002796,+0.073918,-0.043943,-0.054301,+0.022413,0.840196,11.456555,feature consistency best overall for this pair (lambda_0.10); best lambda beats baseline and full3000
Car1,motion_blur_medium,motion_blur,medium,42,0.157212,0.187235,0.160775,0.185556,0.167084,0.185187,full3000,0.05,+0.009872,+0.028344,+0.027975,-0.020151,-0.001679,-0.002048,0.237255,75.137131,fully degraded 3000 remains strongest; best lambda is below full3000
Car1,low_resolution_medium,low_resolution,medium,42,0.214881,0.230149,0.202155,0.205727,0.231528,0.226694,lambda_0.02,0.02,+0.016647,-0.009154,+0.011813,+0.001379,-0.024422,-0.003455,0.284314,53.292439,feature consistency best overall for this pair (lambda_0.02); best lambda beats baseline and full3000
Car1,gaussian_noise_medium,gaussian_noise,medium,42,0.207270,0.220045,0.210765,0.256018,0.465211,0.254640,lambda_0.02,0.02,+0.257941,+0.048748,+0.047370,+0.245166,+0.035973,+0.034595,0.613725,25.541130,feature consistency best overall for this pair (lambda_0.02); best lambda beats baseline and full3000
David2,clean,clean,none,0,0.794439,0.795490,0.798809,0.783450,0.786880,0.782123,balanced3000,0.02,-0.007559,-0.010989,-0.012316,-0.008610,-0.012040,-0.013367,1.000000,1.653213,balanced 3000 remains strongest; best lambda is below baseline
David2,motion_blur_medium,motion_blur,medium,42,0.549680,0.578941,0.551358,0.541678,0.538931,0.538544,full3000,0.05,-0.010749,-0.008002,-0.011136,-0.040010,-0.037263,-0.040397,0.931099,8.604263,fully degraded 3000 remains strongest; best lambda is below baseline
David2,low_resolution_medium,low_resolution,medium,42,0.806258,0.802183,0.809816,0.790401,0.792485,0.788429,balanced3000,0.02,-0.013773,-0.015857,-0.017829,-0.009698,-0.011782,-0.013754,1.000000,1.599949,balanced 3000 remains strongest; best lambda is below baseline
David2,gaussian_noise_medium,gaussian_noise,medium,42,0.817542,0.784428,0.788890,0.773291,0.768110,0.768516,baseline,0.05,-0.049432,-0.044251,-0.049026,-0.016318,-0.011137,-0.015912,0.983240,2.808130,original baseline remains strongest; best lambda is below baseline
Coke,clean,clean,none,0,0.758259,0.759144,0.758293,0.769147,0.768671,0.773434,lambda_0.10,0.10,+0.010412,+0.010888,+0.015175,+0.009527,+0.010003,+0.014290,0.951890,6.343136,feature consistency best overall for this pair (lambda_0.10); best lambda beats baseline and full3000
Coke,motion_blur_medium,motion_blur,medium,42,0.700384,0.718485,0.711204,0.728488,0.727366,0.729645,lambda_0.10,0.10,+0.026982,+0.028104,+0.029261,+0.008881,+0.010003,+0.011160,0.934708,7.826440,feature consistency best overall for this pair (lambda_0.10); best lambda beats baseline and full3000
Coke,low_resolution_medium,low_resolution,medium,42,0.745875,0.749311,0.747644,0.759382,0.760777,0.759824,lambda_0.02,0.02,+0.014902,+0.013507,+0.013949,+0.011466,+0.010071,+0.010513,0.951890,6.767758,feature consistency best overall for this pair (lambda_0.02); best lambda beats baseline and full3000
Coke,gaussian_noise_medium,gaussian_noise,medium,42,0.746759,0.751931,0.753972,0.767990,0.765711,0.765915,lambda_0.05,0.05,+0.018952,+0.021231,+0.019156,+0.013780,+0.016059,+0.013984,0.955326,6.486136,feature consistency best overall for this pair (lambda_0.05); best lambda beats baseline and full3000
,,,,,,,,,,,,,,,,,,,,,
AVERAGES_BY_CONDITION,,,,,,,,,,,,,,,,,,,,,
AVERAGE,clean,,,,0.709564,0.727378,0.724156,0.708599,0.713036,0.735157,lambda_0.10,0.10,+0.003472,-0.000966,+0.025592,-0.014342,-0.018779,+0.007779,,,feature consistency best overall for this pair (lambda_0.10); best lambda beats baseline and full3000
AVERAGE,motion_blur_medium,,,,0.469092,0.494887,0.474446,0.485241,0.477794,0.484459,full3000,0.05,+0.008702,+0.016149,+0.015367,-0.017093,-0.009646,-0.010428,,,fully degraded 3000 remains strongest; best lambda is below full3000
AVERAGE,low_resolution_medium,,,,0.589005,0.593881,0.586538,0.585170,0.594930,0.591649,lambda_0.02,0.02,+0.005925,-0.003835,+0.002644,+0.001049,-0.008711,-0.002232,,,feature consistency best overall for this pair (lambda_0.02); best lambda beats baseline and full3000
AVERAGE,gaussian_noise_medium,,,,0.590524,0.585468,0.584542,0.599100,0.666344,0.596357,lambda_0.02,0.02,+0.075820,+0.008576,+0.005833,+0.080876,+0.013632,+0.010889,,,feature consistency best overall for this pair (lambda_0.02); best lambda beats baseline and full3000
,,,,,,,,,,,,,,,,,,,,,
OVERALL_AVERAGE,all_12_pairs,,,,0.589546,0.600403,0.592421,0.594527,0.613026,0.601905,lambda_0.02,0.02,+0.023480,+0.004981,+0.012359,+0.012622,-0.005876,+0.001502,,,
