sequence,condition,degradation,severity,seed,status,baseline_auc,rgssb_head_1000_auc,rgssb_head_3000_auc,auc_1000_vs_baseline,auc_3000_vs_baseline,auc_3000_vs_1000,baseline_precision_20,rgssb_head_3000_precision_20,precision_20_3000_vs_baseline,baseline_mean_center_error,rgssb_head_3000_mean_center_error,center_error_3000_vs_baseline,baseline_mean_iou,rgssb_head_1000_mean_iou,rgssb_head_3000_mean_iou,best_model,baseline_frames,rgssb_head_1000_frames,rgssb_head_3000_frames,note
Car1,clean,clean,none,0,ok,0.575995,0.749728,0.627500,0.173733,0.051505,-0.122228,0.746078,0.812745,0.066667,16.455626,12.944934,-3.510692,0.575457,0.752178,0.627789,rgssb_head_1000,1020,1020,1020,3000 improves over baseline but trails 1000
Car1,motion_blur medium,motion_blur,medium,42,ok,0.157212,0.163638,0.187235,0.006426,0.030023,0.023597,0.198039,0.232353,0.034314,82.957024,78.632812,-4.324212,0.150176,0.156940,0.180354,rgssb_head_3000,1020,1020,1020,3000 improves over baseline and 1000
Car1,low_resolution medium,low_resolution,medium,42,ok,0.214881,0.229247,0.230149,0.014366,0.015268,0.000902,0.267647,0.288235,0.020588,55.176579,59.511570,4.334991,0.208387,0.223063,0.223873,rgssb_head_3000,1020,1020,1020,3000 improves over baseline and 1000
Car1,gaussian_noise medium,gaussian_noise,medium,42,ok,0.207270,0.245312,0.220045,0.038042,0.012775,-0.025267,0.250980,0.280392,0.029412,64.898727,59.112461,-5.786266,0.200663,0.239326,0.213677,rgssb_head_1000,1020,1020,1020,3000 improves over baseline but trails 1000
David2,clean,clean,none,0,ok,0.794439,0.774656,0.795490,-0.019783,0.001051,0.020834,1.000000,1.000000,0.000000,1.541015,1.670743,0.129728,0.796766,0.776996,0.798241,rgssb_head_3000,537,537,537,3000 improves over baseline and 1000
David2,motion_blur medium,motion_blur,medium,42,ok,0.549680,0.576562,0.578941,0.026882,0.029261,0.002379,0.970205,0.947858,-0.022347,8.078309,7.452694,-0.625615,0.550032,0.577478,0.579624,rgssb_head_3000,537,537,537,3000 improves over baseline and 1000
David2,low_resolution medium,low_resolution,medium,42,ok,0.806258,0.782916,0.802183,-0.023342,-0.004075,0.019267,1.000000,1.000000,0.000000,1.516361,1.615280,0.098919,0.809038,0.785321,0.804828,baseline,537,537,537,3000 recovers over 1000 but remains below baseline
David2,gaussian_noise medium,gaussian_noise,medium,42,ok,0.817542,0.770821,0.784428,-0.046721,-0.033114,0.013607,1.000000,0.983240,-0.016760,1.885668,2.653620,0.767952,0.820530,0.773381,0.787096,baseline,537,537,537,3000 recovers over 1000 but remains below baseline
Coke,clean,clean,none,0,ok,0.758259,0.769079,0.759144,0.010820,0.000885,-0.009935,0.958763,0.955326,-0.003437,5.797408,6.545805,0.748397,0.761059,0.771453,0.761715,rgssb_head_1000,291,291,291,3000 improves over baseline but trails 1000
Coke,motion_blur medium,motion_blur,medium,42,ok,0.700384,0.730087,0.718485,0.029703,0.018101,-0.011602,0.945017,0.938144,-0.006873,7.648194,7.728888,0.080694,0.702562,0.732020,0.720442,rgssb_head_1000,291,291,291,3000 improves over baseline but trails 1000
Coke,low_resolution medium,low_resolution,medium,42,ok,0.745875,0.761049,0.749311,0.015174,0.003436,-0.011738,0.945017,0.948454,0.003437,6.493616,6.826090,0.332474,0.748114,0.763526,0.751744,rgssb_head_1000,291,291,291,3000 improves over baseline but trails 1000
Coke,gaussian_noise medium,gaussian_noise,medium,42,ok,0.746759,0.771188,0.751931,0.024429,0.005172,-0.019257,0.951890,0.951890,0.000000,6.327523,6.596202,0.268679,0.749059,0.774176,0.754412,rgssb_head_1000,291,291,291,3000 improves over baseline but trails 1000
