sequence,condition,degradation,severity,seed,status,baseline_auc,rgssb_head_1000_auc,rgssb_head_3000_degraded_auc,rgssb_head_3000_balanced_auc,balanced_vs_baseline_auc,balanced_vs_1000_auc,balanced_vs_3000_degraded_auc,baseline_precision_20,balanced_precision_20,precision_20_balanced_vs_baseline,baseline_mean_center_error,balanced_mean_center_error,center_error_balanced_vs_baseline,baseline_mean_iou,rgssb_head_1000_mean_iou,rgssb_head_3000_degraded_mean_iou,rgssb_head_3000_balanced_mean_iou,best_model,baseline_frames,balanced_frames,note
Car1,clean,clean,none,0,ok,0.575995,0.749728,0.627500,0.615366,0.039371,-0.134362,-0.012134,0.746078,0.799020,0.052942,16.455626,13.664032,-2.791594,0.575457,0.752178,0.627789,0.615515,rgssb_head_1000,1020,1020,balanced improves over baseline but trails fully degraded 3000
Car1,motion_blur medium,motion_blur,medium,42,ok,0.157212,0.163638,0.187235,0.160775,0.003563,-0.002863,-0.026460,0.198039,0.195098,-0.002941,82.957024,82.994377,0.037353,0.150176,0.156940,0.180354,0.153517,rgssb_head_3000_degraded,1020,1020,balanced improves over baseline but trails fully degraded 3000
Car1,low_resolution medium,low_resolution,medium,42,ok,0.214881,0.229247,0.230149,0.202155,-0.012726,-0.027092,-0.027994,0.267647,0.247059,-0.020588,55.176579,68.941422,13.764843,0.208387,0.223063,0.223873,0.195534,rgssb_head_3000_degraded,1020,1020,balanced below baseline
Car1,gaussian_noise medium,gaussian_noise,medium,42,ok,0.207270,0.245312,0.220045,0.210765,0.003495,-0.034547,-0.009280,0.250980,0.249020,-0.001960,64.898727,63.743336,-1.155391,0.200663,0.239326,0.213677,0.204099,rgssb_head_1000,1020,1020,balanced improves over baseline but trails fully degraded 3000
David2,clean,clean,none,0,ok,0.794439,0.774656,0.795490,0.798809,0.004370,0.024153,0.003319,1.000000,1.000000,0.000000,1.541015,1.588365,0.047350,0.796766,0.776996,0.798241,0.801516,rgssb_head_3000_balanced,537,537,balanced improves over baseline and fully degraded 3000
David2,motion_blur medium,motion_blur,medium,42,ok,0.549680,0.576562,0.578941,0.551358,0.001678,-0.025204,-0.027583,0.970205,0.953445,-0.016760,8.078309,8.116436,0.038127,0.550032,0.577478,0.579624,0.551724,rgssb_head_3000_degraded,537,537,balanced improves over baseline but trails fully degraded 3000
David2,low_resolution medium,low_resolution,medium,42,ok,0.806258,0.782916,0.802183,0.809816,0.003558,0.026900,0.007633,1.000000,1.000000,0.000000,1.516361,1.527171,0.010810,0.809038,0.785321,0.804828,0.812344,rgssb_head_3000_balanced,537,537,balanced improves over baseline and fully degraded 3000
David2,gaussian_noise medium,gaussian_noise,medium,42,ok,0.817542,0.770821,0.784428,0.788890,-0.028652,0.018069,0.004462,1.000000,0.981378,-0.018622,1.885668,2.628243,0.742575,0.820530,0.773381,0.787096,0.791443,baseline,537,537,balanced beats fully degraded 3000 but remains below baseline
Coke,clean,clean,none,0,ok,0.758259,0.769079,0.759144,0.758293,0.000034,-0.010786,-0.000851,0.958763,0.951890,-0.006873,5.797408,6.233048,0.435640,0.761059,0.771453,0.761715,0.760687,rgssb_head_1000,291,291,balanced improves over baseline but trails fully degraded 3000
Coke,motion_blur medium,motion_blur,medium,42,ok,0.700384,0.730087,0.718485,0.711204,0.010820,-0.018883,-0.007281,0.945017,0.938144,-0.006873,7.648194,7.731642,0.083448,0.702562,0.732020,0.720442,0.713337,rgssb_head_1000,291,291,balanced improves over baseline but trails fully degraded 3000
Coke,low_resolution medium,low_resolution,medium,42,ok,0.745875,0.761049,0.749311,0.747644,0.001769,-0.013405,-0.001667,0.945017,0.948454,0.003437,6.493616,6.917499,0.423883,0.748114,0.763526,0.751744,0.750126,rgssb_head_1000,291,291,balanced improves over baseline but trails fully degraded 3000
Coke,gaussian_noise medium,gaussian_noise,medium,42,ok,0.746759,0.771188,0.751931,0.753972,0.007213,-0.017216,0.002041,0.951890,0.948454,-0.003436,6.327523,6.371903,0.044380,0.749059,0.774176,0.754412,0.756314,rgssb_head_1000,291,291,balanced improves over baseline and fully degraded 3000
