sequence,condition,degradation,severity,seed,baseline_auc,fully_degraded_3000_auc,balanced_3000_auc,featcons_3000_auc,featcons_vs_baseline_auc_change,featcons_vs_fully_degraded_3000_auc_change,featcons_vs_balanced_3000_auc_change,baseline_precision_20,featcons_precision_20,precision_20_change_vs_baseline,baseline_mean_center_error,featcons_mean_center_error,center_error_change_vs_baseline,best_model,note
Car1,clean,clean,none,0,0.575995,0.6275,0.615366,0.573199,-0.0027960000000000207,-0.05430099999999993,-0.042166999999999955,0.746078,0.731373,-0.014704999999999968,16.455626,17.251923,0.7962970000000027,fully_degraded_3000,
Car1,motion_blur_medium,motion_blur,medium,42,0.157212,0.187235,0.160775,0.185556,0.028344000000000008,-0.0016790000000000138,0.024780999999999997,0.198039,0.237255,0.039216,82.957024,75.137131,-7.8198930000000075,fully_degraded_3000,
Car1,low_resolution_medium,low_resolution,medium,42,0.214881,0.230149,0.202155,0.205727,-0.009153999999999995,-0.024422,0.003571999999999992,0.267647,0.246078,-0.021569000000000033,55.176579,68.487808,13.311229000000004,fully_degraded_3000,
Car1,gaussian_noise_medium,gaussian_noise,medium,42,0.20727,0.220045,0.210765,0.256018,0.048748000000000014,0.03597300000000003,0.045253000000000015,0.25098,0.331373,0.08039299999999999,64.898727,55.802658,-9.096068999999993,featcons_3000,
David2,clean,clean,none,0,0.794439,0.79549,0.798809,0.78345,-0.010989000000000027,-0.01204000000000005,-0.015359000000000012,1.0,1.0,0.0,1.541015,1.626725,0.08570999999999995,balanced_3000,
David2,motion_blur_medium,motion_blur,medium,42,0.54968,0.578941,0.551358,0.541678,-0.008001999999999954,-0.037263000000000046,-0.009680000000000022,0.970205,0.931099,-0.039105999999999974,8.078309,8.604263,0.5259539999999987,fully_degraded_3000,
David2,low_resolution_medium,low_resolution,medium,42,0.806258,0.802183,0.809816,0.790401,-0.01585700000000001,-0.01178199999999996,-0.01941499999999996,1.0,1.0,0.0,1.516361,1.59037,0.07400899999999999,balanced_3000,
David2,gaussian_noise_medium,gaussian_noise,medium,42,0.817542,0.784428,0.78889,0.773291,-0.04425100000000004,-0.011137000000000064,-0.01559900000000003,1.0,0.98324,-0.016759999999999997,1.885668,2.80813,0.9224619999999999,baseline,
Coke,clean,clean,none,0,0.758259,0.759144,0.758293,0.769147,0.010888000000000009,0.010002999999999984,0.01085400000000003,0.958763,0.955326,-0.0034370000000000234,5.797408,6.413196,0.6157880000000002,featcons_3000,
Coke,motion_blur_medium,motion_blur,medium,42,0.700384,0.718485,0.711204,0.728488,0.028104000000000018,0.010002999999999984,0.017284000000000077,0.945017,0.941581,-0.0034359999999999946,7.648194,7.82766,0.17946599999999968,featcons_3000,
Coke,low_resolution_medium,low_resolution,medium,42,0.745875,0.749311,0.747644,0.759382,0.013507000000000047,0.010071000000000052,0.011738000000000026,0.945017,0.948454,0.0034370000000000234,6.493616,6.910881,0.41726499999999955,featcons_3000,
Coke,gaussian_noise_medium,gaussian_noise,medium,42,0.746759,0.751931,0.753972,0.76799,0.021231,0.016058999999999934,0.014017999999999975,0.95189,0.955326,0.0034359999999999946,6.327523,6.486136,0.1586129999999999,featcons_3000,
