sequence,condition,degradation,severity,seed,baseline_auc,hpc_rgssb_auc,auc_change,baseline_precision_20,hpc_rgssb_precision_20,precision_20_change,baseline_mean_center_error,hpc_rgssb_mean_center_error,center_error_change,best_model,note
Car1,clean,clean,none,0,0.575995,0.614240,+0.038245,0.746078,0.806863,+0.060785,16.455626,13.180775,-3.274851,hpc_rgssb,HPC RG-SSB improves AUC over baseline
Car1,motion_blur_medium,motion_blur,medium,42,0.157212,0.193254,+0.036042,0.198039,0.259804,+0.061765,82.957024,75.900475,-7.056549,hpc_rgssb,HPC RG-SSB improves AUC over baseline
Car1,low_resolution_medium,low_resolution,medium,42,0.214881,0.227820,+0.012939,0.267647,0.301961,+0.034314,55.176579,57.360058,+2.183479,hpc_rgssb,HPC RG-SSB improves AUC over baseline
Car1,gaussian_noise_medium,gaussian_noise,medium,42,0.207270,0.260794,+0.053524,0.250980,0.329412,+0.078432,64.898727,57.147617,-7.751110,hpc_rgssb,HPC RG-SSB improves AUC over baseline
David2,clean,clean,none,0,0.794439,0.797666,+0.003227,1.000000,1.000000,+0.000000,1.541015,1.526944,-0.014071,hpc_rgssb,HPC RG-SSB improves AUC over baseline
David2,motion_blur_medium,motion_blur,medium,42,0.549680,0.616959,+0.067279,0.970205,0.970205,+0.000000,8.078309,6.209242,-1.869067,hpc_rgssb,HPC RG-SSB improves AUC over baseline
David2,low_resolution_medium,low_resolution,medium,42,0.806258,0.802201,-0.004057,1.000000,1.000000,+0.000000,1.516361,1.492518,-0.023843,baseline,OSTrack baseline has higher AUC
David2,gaussian_noise_medium,gaussian_noise,medium,42,0.817542,0.779339,-0.038203,1.000000,0.988827,-0.011173,1.885668,2.576079,+0.690411,baseline,OSTrack baseline has higher AUC
Coke,clean,clean,none,0,0.758259,0.762751,+0.004492,0.958763,0.958763,+0.000000,5.797408,6.259025,+0.461617,hpc_rgssb,HPC RG-SSB improves AUC over baseline
Coke,motion_blur_medium,motion_blur,medium,42,0.700384,0.722126,+0.021742,0.945017,0.934708,-0.010309,7.648194,7.901353,+0.253159,hpc_rgssb,HPC RG-SSB improves AUC over baseline
Coke,low_resolution_medium,low_resolution,medium,42,0.745875,0.750026,+0.004151,0.945017,0.948454,+0.003437,6.493616,7.011554,+0.517938,hpc_rgssb,HPC RG-SSB improves AUC over baseline
Coke,gaussian_noise_medium,gaussian_noise,medium,42,0.746759,0.748460,+0.001701,0.951890,0.945017,-0.006873,6.327523,6.569547,+0.242024,hpc_rgssb,HPC RG-SSB improves AUC over baseline
Walking,clean,clean,none,0,0.787297,0.780929,-0.006368,1.000000,1.000000,+0.000000,1.684909,1.795651,+0.110742,baseline,OSTrack baseline has higher AUC
