sequence,condition,degradation,severity,seed,baseline_auc,hpc_rgssb_auc,auc_change,baseline_mean_iou,hpc_rgssb_mean_iou,mean_iou_change,baseline_precision_20,hpc_rgssb_precision_20,precision_20_change,baseline_mean_center_error,hpc_rgssb_mean_center_error,center_error_change,best_model,outcome,note
nfs_Gymnastics,clean,clean,none,0,0.452890,0.470405,+0.017515,0.450818,0.468309,+0.017491,0.584239,0.608696,+0.024457,97.004085,94.843526,-2.160559,hpc_rgssb,neutral,near neutral by AUC
nfs_Gymnastics,motion_blur_medium,motion_blur,medium,42,0.438872,0.456845,+0.017973,0.436761,0.454865,+0.018104,0.543478,0.573370,+0.029892,98.807078,96.673861,-2.133217,hpc_rgssb,neutral,near neutral by AUC
nfs_Gymnastics,low_resolution_medium,low_resolution,medium,42,0.439706,0.243946,-0.195760,0.437494,0.238543,-0.198951,0.567935,0.315217,-0.252718,98.039800,169.046959,+71.007159,baseline,drop,OSTrack baseline improves AUC
nfs_Gymnastics,gaussian_noise_medium,gaussian_noise,medium,42,0.457356,0.289954,-0.167402,0.455237,0.284842,-0.170395,0.586957,0.364130,-0.222827,96.941718,164.628917,+67.687199,baseline,drop,OSTrack baseline improves AUC
nfs_basketball_player,clean,clean,none,0,0.754139,0.746733,-0.007406,0.756384,0.749379,-0.007005,0.981030,0.972900,-0.008130,5.867569,6.077729,+0.210160,baseline,neutral,near neutral by AUC
nfs_basketball_player,motion_blur_medium,motion_blur,medium,42,0.722450,0.723282,+0.000832,0.724772,0.725518,+0.000746,0.953930,0.940379,-0.013551,6.928502,7.493557,+0.565055,hpc_rgssb,neutral,near neutral by AUC
nfs_basketball_player,low_resolution_medium,low_resolution,medium,42,0.754568,0.747377,-0.007191,0.757309,0.749541,-0.007768,0.981030,0.978320,-0.002710,5.871871,5.986210,+0.114339,baseline,neutral,near neutral by AUC
nfs_basketball_player,gaussian_noise_medium,gaussian_noise,medium,42,0.754112,0.729534,-0.024578,0.756502,0.731773,-0.024729,0.983740,0.953930,-0.029810,6.042841,7.180909,+1.138068,baseline,drop,OSTrack baseline improves AUC
nfs_car,clean,clean,none,0,0.407308,0.407514,+0.000206,0.404475,0.404619,+0.000144,0.484158,0.482178,-0.001980,63.982927,64.336340,+0.353413,hpc_rgssb,neutral,near neutral by AUC
nfs_car,motion_blur_medium,motion_blur,medium,42,0.769581,0.764582,-0.004999,0.772271,0.767212,-0.005059,0.941089,0.946040,+0.004951,7.530301,7.495709,-0.034592,baseline,neutral,near neutral by AUC
nfs_car,low_resolution_medium,low_resolution,medium,42,0.410126,0.411371,+0.001245,0.407264,0.408484,+0.001220,0.483168,0.483663,+0.000495,64.119475,64.473975,+0.354500,hpc_rgssb,neutral,near neutral by AUC
nfs_car,gaussian_noise_medium,gaussian_noise,medium,42,0.791089,0.807303,+0.016214,0.793995,0.810352,+0.016357,0.959901,0.961881,+0.001980,5.789128,6.109750,+0.320622,hpc_rgssb,neutral,near neutral by AUC
nfs_dog,clean,clean,none,0,0.687984,0.672047,-0.015937,0.689819,0.673573,-0.016246,0.994175,0.996117,+0.001942,3.331066,3.329198,-0.001868,baseline,neutral,near neutral by AUC
