sequence,condition,degradation,severity,seed,baseline_auc,global_auc,target_auc,global_vs_baseline_auc_change,target_vs_baseline_auc_change,target_vs_global_auc_change,baseline_precision_20,global_precision_20,target_precision_20,target_precision_20_change_vs_global,baseline_center_error,global_center_error,target_center_error,target_center_error_change_vs_global,best_model,note
Car1,clean,clean,none,0,0.575995,0.583557,0.576781,+0.007562,+0.000786,-0.006776,0.746078,0.746078,0.728431,-0.017647,16.455626,16.424854,17.430761,+1.005907,global_featcons,near tie between target and global
Car1,motion_blur_medium,motion_blur,medium,42,0.157212,0.167084,0.165317,+0.009872,+0.008105,-0.001767,0.198039,0.196078,0.197059,+0.000981,82.957024,82.399231,82.057014,-0.342217,global_featcons,near tie between target and global
Car1,low_resolution_medium,low_resolution,medium,42,0.214881,0.231528,0.208396,+0.016647,-0.006485,-0.023132,0.267647,0.284314,0.249020,-0.035294,55.176579,53.292439,69.130333,+15.837894,global_featcons,target-region drops versus global
Car1,gaussian_noise_medium,gaussian_noise,medium,42,0.207270,0.465211,0.253456,+0.257941,+0.046186,-0.211755,0.250980,0.613725,0.330392,-0.283333,64.898727,25.541130,55.512753,+29.971623,global_featcons,target-region drops versus global
David2,clean,clean,none,0,0.794439,0.786880,0.783358,-0.007559,-0.011081,-0.003522,1.000000,1.000000,1.000000,+0.000000,1.541015,1.653213,1.721588,+0.068375,baseline,near tie between target and global
David2,motion_blur_medium,motion_blur,medium,42,0.549680,0.538931,0.544001,-0.010749,-0.005679,+0.005070,0.970205,0.945996,0.925512,-0.020484,8.078309,8.545233,8.555202,+0.009969,baseline,near tie between target and global
David2,low_resolution_medium,low_resolution,medium,42,0.806258,0.792485,0.789756,-0.013773,-0.016502,-0.002729,1.000000,1.000000,1.000000,+0.000000,1.516361,1.599949,1.651676,+0.051727,baseline,near tie between target and global
David2,gaussian_noise_medium,gaussian_noise,medium,42,0.817542,0.768110,0.767557,-0.049432,-0.049985,-0.000553,1.000000,0.975791,0.983240,+0.007449,1.885668,3.085201,2.880442,-0.204759,baseline,near tie between target and global
Coke,clean,clean,none,0,0.758259,0.768671,0.772277,+0.010412,+0.014018,+0.003606,0.958763,0.955326,0.955326,+0.000000,5.797408,6.295847,5.976226,-0.319621,target_featcons,near tie between target and global
Coke,motion_blur_medium,motion_blur,medium,42,0.700384,0.727366,0.727025,+0.026982,+0.026641,-0.000341,0.945017,0.934708,0.938144,+0.003436,7.648194,7.894889,7.788575,-0.106314,global_featcons,near tie between target and global
Coke,low_resolution_medium,low_resolution,medium,42,0.745875,0.760777,0.757817,+0.014902,+0.011942,-0.002960,0.945017,0.951890,0.948454,-0.003436,6.493616,6.767758,7.237178,+0.469420,global_featcons,near tie between target and global
Coke,gaussian_noise_medium,gaussian_noise,medium,42,0.746759,0.765711,0.727910,+0.018952,-0.018849,-0.037801,0.951890,0.938144,0.907216,-0.030928,6.327523,6.455208,20.776625,+14.321417,global_featcons,target-region drops versus global
