corpus_id,tier,title,year,venue,ordered_author_list,total_author_count,first_author,m_omair_ahmad_present,mns_swamy_present,alireza_esmaeilzehi_present,non_supervisor_author_count,corresponding_author_explicit,senior_final_author_position,credit_author_contribution_statement,writing_original_draft_credit,review_editing_credit,group_a_flag,group_b_alireza_flag,primary_group,style_weight,authorship_role_confidence,uncertainty_notes
T1_2024_TMRB_MIS_FMR,Tier 1,A Very Fast and Robust Method for Refinement of Putative Matches of Features in MIS Images for Robotic-Assisted Surgery,2024,IEEE Transactions on Medical Robotics and Bionics,Muhammad Reza Pourshahabi; M. Omair Ahmad; M. N. S. Swamy,3,Muhammad Reza Pourshahabi,yes,yes,no,1,M. Omair Ahmad is explicitly corresponding author; Ahmad and Swamy are senior coauthors,M. Omair Ahmad at position 2/3; M. N. S. Swamy at position 3/3; final author: M. N. S. Swamy,not reported,not reported,not reported,yes,no,A,1.00,high,"Domain is MIS feature matching rather than visual tracking, but feature-refinement rhetoric is relevant. Group A uses an operational proxy only: exactly one non-supervisor author plus both supervisors; this is not a confirmed student/researcher role unless separately documented."
T1_2024_TBC_DMML,Tier 1,DMML: Deep Multi-Prior and Multi-Discriminator Learning for Underwater Image Enhancement,2024,IEEE Transactions on Broadcasting,Alireza Esmaeilzehi; Yang Ou; M. Omair Ahmad; M. N. S. Swamy,4,Alireza Esmaeilzehi,yes,yes,yes,2,M. Omair Ahmad is explicitly corresponding author; Ahmad and Swamy are senior coauthors,M. Omair Ahmad at position 3/4; M. N. S. Swamy at position 4/4; final author: M. N. S. Swamy,not reported,not reported,not reported,no,yes,B,0.90,high,Underwater enhancement is related but not tracking; use primarily for style and restoration motivation.
T1_2023_SPL_DPAN,Tier 1,DPAN: A Deep Light-Weight Attention-Based Image Super Resolution Network Using Multi-Dimensional Filter Design Technique,2023,IEEE Signal Processing Letters,Alireza Esmaeilzehi; Hossein Zaredar; Dimitrios Hatzinakos; M. Omair Ahmad,4,Alireza Esmaeilzehi,yes,no,yes,3,M. Omair Ahmad is explicitly corresponding author and final/senior author,M. Omair Ahmad at position 4/4; final author: M. Omair Ahmad,not reported,not reported,not reported,no,no,D,0.15,low for defining dual-supervisor house style,Short letter format limits Related Work evidence.
T1_2023_APPLINT_EDGE,Tier 1,A low-complexity residual deep neural network for image edge detection,2023,Applied Intelligence,Abdullah Al-Amaren; M. Omair Ahmad; M. N. S. Swamy,3,Abdullah Al-Amaren,yes,yes,no,1,Ahmad is marked as corresponding author; Ahmad and Swamy are senior coauthors,M. Omair Ahmad at position 2/3; M. N. S. Swamy at position 3/3; final author: M. N. S. Swamy,not reported,not reported,not reported,yes,no,A,1.00,high,Edge detection is domain-distant from tracking. Group A uses an operational proxy only: exactly one non-supervisor author plus both supervisors; this is not a confirmed student/researcher role unless separately documented.
T1_2026_TIP_MSD_RGBT,Tier 1,A Multi-Level Self-Distillation-Based Unified Tracker for Efficient RGB-T Tracking,2026,IEEE Transactions on Image Processing,Mohamed Awad; Ahmed Elliethy; M. Omair Ahmad; M. N. S. Swamy,4,Mohamed Awad,yes,yes,no,2,M. Omair Ahmad is explicitly corresponding author; Ahmad and Swamy are senior coauthors,M. Omair Ahmad at position 3/4; M. N. S. Swamy at position 4/4; final author: M. N. S. Swamy,not reported,not reported,not reported,no,no,C,0.45,high,Multimodal RGB-T tracking differs from RGB degradation-robust tracking.
T1_2025_ICIP_HFDAE_RGBT,Tier 1,Adaptive Hierarchical Feature Difference Auto-Encoder for Robust RGB-T Object Tracking,2025,IEEE International Conference on Image Processing,Mohamed Awad; Ahmed Elliethy; M. Omair Ahmad; M. N. S. Swamy,4,Mohamed Awad,yes,yes,no,2,Ahmad and Swamy are senior coauthors; corresponding status not explicitly established,M. Omair Ahmad at position 3/4; M. N. S. Swamy at position 4/4; final author: M. N. S. Swamy,not reported,not reported,not reported,no,no,C,0.45,high,Conference paper; shorter than Transactions papers.
T1_2025_TGRS_UADIFF,Tier 1,UADiff: A Deep Underwater Image Enhancement Network Using Generative Diffusion Prior and Uncertainty-Aware Learning,2025,IEEE Transactions on Geoscience and Remote Sensing,Yang Ou; Alireza Esmaeilzehi; M. Omair Ahmad; M. N. S. Swamy,4,Yang Ou,yes,yes,yes,2,Alireza Esmaeilzehi is explicitly corresponding author; Ahmad and Swamy are senior coauthors,M. Omair Ahmad at position 3/4; M. N. S. Swamy at position 4/4; final author: M. N. S. Swamy,not reported,not reported,not reported,no,yes,B,0.90,high,Underwater restoration is technically adjacent but not tracking.
T1_2025_JBHI_ALZ_CNN,Tier 1,A Lightweight Deep Convolutional Neural Network Extracting Local and Global Contextual Features for the Classification of Alzheimer's Disease Using Structural MRI,2025,IEEE Journal of Biomedical and Health Informatics,Emimal Jabason; M. Omair Ahmad; M. N. S. Swamy,3,Emimal Jabason,yes,yes,no,1,M. Omair Ahmad is explicitly corresponding author; Ahmad and Swamy are senior coauthors,M. Omair Ahmad at position 2/3; M. N. S. Swamy at position 3/3; final author: M. N. S. Swamy,not reported,not reported,not reported,yes,no,A,1.00,high,Biomedical classification is domain-distant from tracking. Group A uses an operational proxy only: exactly one non-supervisor author plus both supervisors; this is not a confirmed student/researcher role unless separately documented.
T1_2024_MULTISYS_REFINERHASH,Tier 1,RefinerHash: a new hashing-based re-ranking technique for image retrieval,2024,Multimedia Systems,Farzad Sabahi; M. Omair Ahmad; M. N. S. Swamy,3,Farzad Sabahi,yes,yes,no,1,M. Omair Ahmad is explicitly corresponding author; Ahmad and Swamy are senior coauthors,M. Omair Ahmad at position 2/3; M. N. S. Swamy at position 3/3; final author: M. N. S. Swamy,not reported,not reported,not reported,yes,no,A,1.00,high,Image retrieval is not directly relevant to RG-SSB tracking citations. Group A uses an operational proxy only: exactly one non-supervisor author plus both supervisors; this is not a confirmed student/researcher role unless separately documented.
T1_2024_VISCOMP_HIGHBOOSTNET,Tier 1,HighBoostNet: a deep light-weight image super-resolution network using high-boost residual blocks,2024,The Visual Computer,Alireza Esmaeilzehi; Lei Ma; M. N. S. Swamy; M. Omair Ahmad,4,Alireza Esmaeilzehi,yes,yes,yes,2,Ahmad is final/senior author; corresponding status not explicitly established,M. N. S. Swamy at position 3/4; M. Omair Ahmad at position 4/4; final author: M. Omair Ahmad,not reported,not reported,not reported,no,yes,B,0.90,high,"Super-resolution is relevant to degradation motivation, not direct tracking method citation."
