corpus_id,tier,title,authors,target_supervisor,year,journal,volume,issue,pages,DOI,verified_affiliation,corresponding_or_senior_author_status,source_type,source_url_or_repository,full_text_available,local_pdf_path,local_pdf_filename,sha256,pdf_page_count,introduction_available,related_work_available,integrated_prior_work_available,abstract_file,introduction_file,related_work_file,integrated_prior_work_file,method_overview_file,contributions_file,discussion_limitations_file,conclusion_file,technical_categories,stylistic_usefulness,technical_relevance_to_paper2,inclusion_reason,identity_confidence,notes,duplicate_of,duplicate_uploads,included_in_analysis
T1_2024_TMRB_MIS_FMR,Tier 1,A Very Fast and Robust Method for Refinement of Putative Matches of Features in MIS Images for Robotic-Assisted Surgery,Muhammad Reza Pourshahabi; M. Omair Ahmad; M. N. S. Swamy,both,2024,IEEE Transactions on Medical Robotics and Bionics,6,2,419-432,10.1109/TMRB.2024.3369769,First page lists Ahmad and Swamy with Concordia ECE affiliation and Concordia emails.,M. Omair Ahmad is explicitly corresponding author; Ahmad and Swamy are senior coauthors,manual upload; IEEE publisher PDF,papers/supervisor_style_corpus/manual_uploads/1- A_Very_Fast_and_Robust_Method_for_Refinement_of_Putative_Matches_of_Features_in_MIS_Images_for_Robotic-Assisted_Surgery.pdf,true,papers/supervisor_style_corpus/rebuilt/pdf/T1_2024_TMRB_MIS_FMR.pdf,T1_2024_TMRB_MIS_FMR.pdf,db08cfb27d0f7cc60bf577e7183bd13a60482521bd016b2421eb5629b1ee3766,14,true,false,true,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_TMRB_MIS_FMR__abstract.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_TMRB_MIS_FMR__introduction.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_TMRB_MIS_FMR__integrated_prior_work.txt,,,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_TMRB_MIS_FMR__conclusion.txt,feature matching; medical imaging; representation learning,Introduction-style evidence; Related Work-style evidence; methodological-explanation evidence; limitation/discussion evidence,technical citation candidate for Paper_2,Recent IEEE Transactions methodological paper with strong problem-to-related-work narrowing.,high,"Domain is MIS feature matching rather than visual tracking, but feature-refinement rhetoric is relevant.",,,true
T1_2024_TBC_DMML,Tier 1,DMML: Deep Multi-Prior and Multi-Discriminator Learning for Underwater Image Enhancement,Alireza Esmaeilzehi; Yang Ou; M. Omair Ahmad; M. N. S. Swamy,both,2024,IEEE Transactions on Broadcasting,70,2,637-653,10.1109/TBC.2024.3349773,First page lists Ahmad and Swamy with Concordia ECE affiliation and Concordia emails.,M. Omair Ahmad is explicitly corresponding author; Ahmad and Swamy are senior coauthors,manual upload; IEEE publisher PDF,papers/supervisor_style_corpus/manual_uploads/2-DMML_Deep_Multi-Prior_and_Multi-Discriminator_Learning_for_Underwater_Image_Enhancement.pdf,true,papers/supervisor_style_corpus/rebuilt/pdf/T1_2024_TBC_DMML.pdf,T1_2024_TBC_DMML.pdf,f0fbb0dbad69efe8fe07e14515cced22ab4ed57596f629f5972ed75a57b40795,17,true,true,false,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_TBC_DMML__abstract.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_TBC_DMML__introduction.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_TBC_DMML__related_work.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_TBC_DMML__method_overview.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_TBC_DMML__contributions.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_TBC_DMML__conclusion.txt,image enhancement; image restoration; representation learning,Introduction-style evidence; Related Work-style evidence; contribution-list evidence; methodological-explanation evidence,technical citation candidate for Paper_2,Recent IEEE Transactions enhancement paper with strong restoration/degradation motivation.,high,Underwater enhancement is related but not tracking; use primarily for style and restoration motivation.,,13-DMML_Deep_Multi-Prior_and_Multi-Discriminator_Learning_for_Underwater_Image_Enhancement.pdf,true
T1_2023_SPL_DPAN,Tier 1,DPAN: A Deep Light-Weight Attention-Based Image Super Resolution Network Using Multi-Dimensional Filter Design Technique,Alireza Esmaeilzehi; Hossein Zaredar; Dimitrios Hatzinakos; M. Omair Ahmad,M. O. Ahmad,2023,IEEE Signal Processing Letters,30,not reported,1637-1641,10.1109/LSP.2023.3326387,First page lists Ahmad with Concordia ECE affiliation and email.,M. Omair Ahmad is explicitly corresponding author and final/senior author,manual upload; IEEE publisher PDF,papers/supervisor_style_corpus/manual_uploads/3-DPAN_A_Deep_Light-Weight_Attention-Based_Image_Super_Resolution_Network_Using_Multi-Dimensional_Filter_Design_Technique.pdf,true,papers/supervisor_style_corpus/rebuilt/pdf/T1_2023_SPL_DPAN.pdf,T1_2023_SPL_DPAN.pdf,111488154d781e0b2542f7a98feafcfe5d1b3adcc2a2064a24b4051bd1c52d3c,5,true,false,true,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2023_SPL_DPAN__abstract.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2023_SPL_DPAN__introduction.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2023_SPL_DPAN__integrated_prior_work.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2023_SPL_DPAN__method_overview.txt,,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2023_SPL_DPAN__conclusion.txt,super-resolution; image restoration,methodological-explanation evidence; contribution-list evidence,"style-only, not suitable for citation in Paper_2",Recent IEEE methodological letter showing compact technical motivation.,high,Short letter format limits Related Work evidence.,,,true
T1_2023_APPLINT_EDGE,Tier 1,A low-complexity residual deep neural network for image edge detection,Abdullah Al-Amaren; M. Omair Ahmad; M. N. S. Swamy,both,2023,Applied Intelligence,53,not reported,11282-11299,10.1007/s10489-022-04062-6,First page lists all authors with Concordia ECE affiliation.,Ahmad is marked as corresponding author; Ahmad and Swamy are senior coauthors,manual upload; publisher PDF,papers/supervisor_style_corpus/manual_uploads/4_A low-complexity residual deep neural network for image edge detection.pdf,true,papers/supervisor_style_corpus/rebuilt/pdf/T1_2023_APPLINT_EDGE.pdf,T1_2023_APPLINT_EDGE.pdf,e5c0a90edfc91017ad384c7b4231788b4b81fffb1188593f2b84fb4a320210be,18,true,true,false,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2023_APPLINT_EDGE__abstract.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2023_APPLINT_EDGE__introduction.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2023_APPLINT_EDGE__related_work.txt,,,,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2023_APPLINT_EDGE__conclusion.txt,representation learning; medical imaging; other,Introduction-style evidence; Related Work-style evidence; methodological-explanation evidence,"style-only, not suitable for citation in Paper_2",Recent algorithmic journal article with extended prior-work discussion.,high,Edge detection is domain-distant from tracking.,,,true
T1_2026_TIP_MSD_RGBT,Tier 1,A Multi-Level Self-Distillation-Based Unified Tracker for Efficient RGB-T Tracking,Mohamed Awad; Ahmed Elliethy; M. Omair Ahmad; M. N. S. Swamy,both,2026,IEEE Transactions on Image Processing,35,not reported,2407-2422,10.1109/TIP.2026.3666737,First page lists Awad/Ahmad/Swamy with Concordia ECE affiliation and emails.,M. Omair Ahmad is explicitly corresponding author; Ahmad and Swamy are senior coauthors,manual upload; IEEE publisher PDF,papers/supervisor_style_corpus/manual_uploads/5-A_Multi-Level_Self-Distillation-Based_Unified_Tracker_for_Efficient_RGB-T_Tracking.pdf,true,papers/supervisor_style_corpus/rebuilt/pdf/T1_2026_TIP_MSD_RGBT.pdf,T1_2026_TIP_MSD_RGBT.pdf,af04a8043cc8680a58709332bc05d69d657f6ece39c1f89329c406b74af92531,16,true,true,false,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2026_TIP_MSD_RGBT__abstract.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2026_TIP_MSD_RGBT__introduction.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2026_TIP_MSD_RGBT__related_work.txt,,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2026_TIP_MSD_RGBT__contributions.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2026_TIP_MSD_RGBT__conclusion.txt,visual tracking; RGB-T tracking; representation learning,Introduction-style evidence; Related Work-style evidence; contribution-list evidence; methodological-explanation evidence; technical citation candidate for Paper_2,technical citation candidate for Paper_2,Recent IEEE TIP RGB-T tracking paper from the same supervisor group; strongest tracking-style model.,high,Multimodal RGB-T tracking differs from RGB degradation-robust tracking.,,,true
T1_2025_ICIP_HFDAE_RGBT,Tier 1,Adaptive Hierarchical Feature Difference Auto-Encoder for Robust RGB-T Object Tracking,Mohamed Awad; Ahmed Elliethy; M. Omair Ahmad; M. N. S. Swamy,both,2025,IEEE International Conference on Image Processing,not reported,not reported,2121-2126,10.1109/ICIP55913.2025.11084657,First page lists Awad/Ahmad/Swamy with Concordia ECE affiliation and emails.,Ahmad and Swamy are senior coauthors; corresponding status not explicitly established,manual upload; IEEE publisher PDF,papers/supervisor_style_corpus/manual_uploads/6-Adaptive_Hierarchical_Feature_Difference_Auto-Encoder_for_Robust_RGB-T_Object_Tracking.pdf,true,papers/supervisor_style_corpus/rebuilt/pdf/T1_2025_ICIP_HFDAE_RGBT.pdf,T1_2025_ICIP_HFDAE_RGBT.pdf,bdd60088ccf91ede24a41132cdcdacd0f2b89610a077773335e376f5f3ff6bd1,6,true,false,true,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2025_ICIP_HFDAE_RGBT__abstract.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2025_ICIP_HFDAE_RGBT__introduction.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2025_ICIP_HFDAE_RGBT__integrated_prior_work.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2025_ICIP_HFDAE_RGBT__method_overview.txt,,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2025_ICIP_HFDAE_RGBT__conclusion.txt,visual tracking; RGB-T tracking; image enhancement; representation learning,Introduction-style evidence; Related Work-style evidence; methodological-explanation evidence; technical citation candidate for Paper_2,technical citation candidate for Paper_2,Recent RGB-T tracking paper; highly relevant for tracking motivation and fusion positioning.,high,Conference paper; shorter than Transactions papers.,,,true
T1_2025_TGRS_UADIFF,Tier 1,UADiff: A Deep Underwater Image Enhancement Network Using Generative Diffusion Prior and Uncertainty-Aware Learning,Yang Ou; Alireza Esmaeilzehi; M. Omair Ahmad; M. N. S. Swamy,both,2025,IEEE Transactions on Geoscience and Remote Sensing,63,not reported,Article 4208114,10.1109/TGRS.2025.3578927,First page lists Ahmad and Swamy with Concordia ECE affiliation and Concordia emails.,Alireza Esmaeilzehi is explicitly corresponding author; Ahmad and Swamy are senior coauthors,manual upload; IEEE publisher PDF,papers/supervisor_style_corpus/manual_uploads/7-UADiff_A_Deep_Underwater_Image_Enhancement_Network_Using_Generative_Diffusion_Prior_and_Uncertainty-Aware_Learning.pdf,true,papers/supervisor_style_corpus/rebuilt/pdf/T1_2025_TGRS_UADIFF.pdf,T1_2025_TGRS_UADIFF.pdf,666c855e17713c36074d28a36d66131f50a94d34c351585f4157bd7b03aed936,14,true,true,false,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2025_TGRS_UADIFF__abstract.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2025_TGRS_UADIFF__introduction.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2025_TGRS_UADIFF__related_work.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2025_TGRS_UADIFF__method_overview.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2025_TGRS_UADIFF__contributions.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2025_TGRS_UADIFF__conclusion.txt,image enhancement; image restoration; representation learning,Introduction-style evidence; Related Work-style evidence; contribution-list evidence; methodological-explanation evidence,technical citation candidate for Paper_2,Recent IEEE Transactions restoration/enhancement paper with substantial Related Work.,high,Underwater restoration is technically adjacent but not tracking.,,12-UADiff_A_Deep_Underwater_Image_Enhancement_Network_Using_Generative_Diffusion_Prior_and_Uncertainty-Aware_Learning.pdf,true
T1_2025_JBHI_ALZ_CNN,Tier 1,A Lightweight Deep Convolutional Neural Network Extracting Local and Global Contextual Features for the Classification of Alzheimer's Disease Using Structural MRI,Emimal Jabason; M. Omair Ahmad; M. N. S. Swamy,both,2025,IEEE Journal of Biomedical and Health Informatics,29,3,2061-2073,10.1109/JBHI.2024.3512417,First page lists all authors with Concordia ECE affiliation and emails.,M. Omair Ahmad is explicitly corresponding author; Ahmad and Swamy are senior coauthors,manual upload; IEEE publisher PDF,papers/supervisor_style_corpus/manual_uploads/8-A_Lightweight_Deep_Convolutional_Neural_Network_Extracting_Local_and_Global_Contextual_Features_for_the_Classification_of_Alzheimers_Disease_Using_Structural_MRI.pdf,true,papers/supervisor_style_corpus/rebuilt/pdf/T1_2025_JBHI_ALZ_CNN.pdf,T1_2025_JBHI_ALZ_CNN.pdf,dc013cec2a06ae299cc892edd1ce70995545c45bc569cc048e557b7fdb078619,13,true,true,false,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2025_JBHI_ALZ_CNN__abstract.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2025_JBHI_ALZ_CNN__introduction.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2025_JBHI_ALZ_CNN__related_work.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2025_JBHI_ALZ_CNN__method_overview.txt,,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2025_JBHI_ALZ_CNN__conclusion.txt,medical imaging; representation learning,Introduction-style evidence; Related Work-style evidence; methodological-explanation evidence,"style-only, not suitable for citation in Paper_2",Recent IEEE journal methodological paper with strong practical-motivation opening.,high,Biomedical classification is domain-distant from tracking.,,14-A_Lightweight_Deep_Convolutional_Neural_Network_Extracting_Local_and_Global_Contextual_Features_for_the_Classification_of_Alzheimers_Disease_Using_Structural_MRI.pdf,true
T1_2024_MULTISYS_REFINERHASH,Tier 1,RefinerHash: a new hashing-based re-ranking technique for image retrieval,Farzad Sabahi; M. Omair Ahmad; M. N. S. Swamy,both,2024,Multimedia Systems,30,not reported,Article 119,10.1007/s00530-024-01296-x,First page lists all authors with Concordia ECE affiliation.,M. Omair Ahmad is explicitly corresponding author; Ahmad and Swamy are senior coauthors,manual upload; publisher PDF,papers/supervisor_style_corpus/manual_uploads/9-RefinerHash_a_new_hashing-bas.pdf,true,papers/supervisor_style_corpus/rebuilt/pdf/T1_2024_MULTISYS_REFINERHASH.pdf,T1_2024_MULTISYS_REFINERHASH.pdf,bfee8b6847e662b76a712b3fe568ffd08123be68a9fb44f958810e4bffa686ab,19,true,false,true,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_MULTISYS_REFINERHASH__abstract.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_MULTISYS_REFINERHASH__introduction.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_MULTISYS_REFINERHASH__integrated_prior_work.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_MULTISYS_REFINERHASH__contributions.txt,,,representation learning; other,Introduction-style evidence; Related Work-style evidence; methodological-explanation evidence,"style-only, not suitable for citation in Paper_2",Recent multimedia journal paper with extensive retrieval motivation and method-family review.,high,Image retrieval is not directly relevant to RG-SSB tracking citations.,,,true
T1_2024_VISCOMP_HIGHBOOSTNET,Tier 1,HighBoostNet: a deep light-weight image super-resolution network using high-boost residual blocks,Alireza Esmaeilzehi; Lei Ma; M. N. S. Swamy; M. Omair Ahmad,both,2024,The Visual Computer,40,not reported,1111-1129,10.1007/s00371-023-02835-9,First page lists Ahmad and Swamy with Concordia ECE affiliation and emails.,Ahmad is final/senior author; corresponding status not explicitly established,manual upload; publisher PDF,papers/supervisor_style_corpus/manual_uploads/10-HighBoostNet a deep light-weight image super-resolution network using high-boost residual blocks.pdf,true,papers/supervisor_style_corpus/rebuilt/pdf/T1_2024_VISCOMP_HIGHBOOSTNET.pdf,T1_2024_VISCOMP_HIGHBOOSTNET.pdf,c60c2a45a7f4c7968cd5e0a6d49096c8ae80dec9e463997f217d961fe416415c,19,true,true,false,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_VISCOMP_HIGHBOOSTNET__abstract.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_VISCOMP_HIGHBOOSTNET__introduction.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_VISCOMP_HIGHBOOSTNET__related_work.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_VISCOMP_HIGHBOOSTNET__method_overview.txt,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_VISCOMP_HIGHBOOSTNET__contributions.txt,,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_VISCOMP_HIGHBOOSTNET__conclusion.txt,super-resolution; image restoration; representation learning,Introduction-style evidence; Related Work-style evidence; methodological-explanation evidence,technical citation candidate for Paper_2,Recent image super-resolution paper with degradation-model motivation.,high,"Super-resolution is relevant to degradation motivation, not direct tracking method citation.",,,true
