corpus_id,tier,title,target_supervisor,year,journal,section,paragraph_count,word_count,mean_words_per_paragraph,sentences_per_paragraph,sentence_count,mean_words_per_sentence,citation_count,mean_citations_per_paragraph,first_citation_paragraph,first_explicit_limitation_paragraph,proposed_method_intro_paragraph,contribution_location_paragraph,contribution_list_form,contribution_item_count_proxy,first_person_count,hedge_count,passive_proxy_count,passive_proxy_per_100_sentences,transition_counts,role_sequence_proxy,related_work_organization_proxy,related_work_mode_proxy,limitation_expression_count,comparison_language_count,section_file
T1_2024_TMRB_MIS_FMR,Tier 1,A Very Fast and Robust Method for Refinement of Putative Matches of Features in MIS Images for Robotic-Assisted Surgery,both,2024,IEEE Transactions on Medical Robotics and Bionics,introduction,35,9318,266.23,8.86,310,30.06,70,2.00,1,4,19,0,itemized,1,89,36,120,38.71,however=13; therefore=8; moreover=1; although=2; while=8; whereas=3; in contrast=1; specifically=1; finally=4,broad application context+practical importance+technical challenge > technical challenge+representative prior progress > broad application context > practical importance+technical challenge+representative prior progress > practical importance+representative prior progress > technical challenge+representative prior progress+unresolved limitation > practical importance+technical challenge+representative prior progress > broad application context > technical challenge+representative prior progress+method summary > representative prior progress+unresolved limitation+research gap > method summary > practical importance+representative prior progress,not applicable,critical/comparative,43,7,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_TMRB_MIS_FMR__introduction.txt
T1_2024_TMRB_MIS_FMR,Tier 1,A Very Fast and Robust Method for Refinement of Putative Matches of Features in MIS Images for Robotic-Assisted Surgery,both,2024,IEEE Transactions on Medical Robotics and Bionics,integrated_prior_work,6,2731,455.17,16.33,98,27.87,43,7.17,1,3,0,0,not reported,0,5,13,48,48.98,however=7; therefore=4; moreover=1; although=1; while=2; specifically=1; finally=1,representative methods+strengths+comparison > category introduction+representative methods > category introduction+representative methods+strengths > category introduction+representative methods+strengths > category introduction+representative methods+strengths > category introduction+representative methods+strengths,method-family,critical/comparative,21,1,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_TMRB_MIS_FMR__integrated_prior_work.txt
T1_2024_TMRB_MIS_FMR,Tier 1,A Very Fast and Robust Method for Refinement of Putative Matches of Features in MIS Images for Robotic-Assisted Surgery,both,2024,IEEE Transactions on Medical Robotics and Bionics,conclusion,5,1778,355.60,63.00,315,5.64,33,6.60,1,0,1,0,itemized,1,1,1,2,0.63,while=1,broad application context+technical challenge+representative prior progress > practical importance+representative prior progress > broad application context+practical importance+technical challenge > broad application context > representative prior progress+method summary,not applicable,descriptive,0,0,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_TMRB_MIS_FMR__conclusion.txt
T1_2024_TBC_DMML,Tier 1,DMML: Deep Multi-Prior and Multi-Discriminator Learning for Underwater Image Enhancement,both,2024,IEEE Transactions on Broadcasting,introduction,4,1199,299.75,9.25,37,32.41,13,3.25,2,1,4,4,prose,0,15,6,14,37.84,however=3; therefore=1; in contrast=1; specifically=1; finally=2; in view of this=1,broad application context+practical importance+technical challenge > broad application context+practical importance+representative prior progress > unlabeled > broad application context+practical importance+technical challenge,not applicable,critical/comparative,7,1,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_TBC_DMML__introduction.txt
T1_2024_TBC_DMML,Tier 1,DMML: Deep Multi-Prior and Multi-Discriminator Learning for Underwater Image Enhancement,both,2024,IEEE Transactions on Broadcasting,related_work,6,1755,292.50,8.83,53,33.11,24,4.00,3,6,6,0,not reported,0,10,9,24,45.28,however=1; therefore=1; specifically=6; finally=3,category introduction+representative methods > unlabeled > category introduction+representative methods+comparison > unlabeled > representative methods > category introduction+representative methods+weaknesses,method-family,critical/comparative,4,0,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_TBC_DMML__related_work.txt
T1_2024_TBC_DMML,Tier 1,DMML: Deep Multi-Prior and Multi-Discriminator Learning for Underwater Image Enhancement,both,2024,IEEE Transactions on Broadcasting,contributions,1,851,851.00,17.00,17,50.06,10,10.00,1,1,1,1,prose,0,15,3,9,52.94,however=2; therefore=1; in contrast=1; specifically=1; finally=2; in view of this=1,broad application context+practical importance+technical challenge,not applicable,critical/comparative,4,1,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_TBC_DMML__contributions.txt
T1_2024_TBC_DMML,Tier 1,DMML: Deep Multi-Prior and Multi-Discriminator Learning for Underwater Image Enhancement,both,2024,IEEE Transactions on Broadcasting,method_overview,19,3938,207.26,5.63,107,36.80,17,0.89,4,4,1,0,not reported,0,41,12,52,48.60,however=4; therefore=1; in addition=1; while=2; whereas=1; specifically=5; finally=2; in view of this=2,broad application context+representative prior progress+proposed direction > unlabeled > practical importance > broad application context+practical importance+technical challenge > unlabeled > practical importance+representative prior progress+method summary > broad application context+practical importance+representative prior progress > unlabeled > representative prior progress+method summary > broad application context+practical importance+representative prior progress > practical importance+representative prior progress+method summary > unlabeled,not applicable,critical/comparative,10,3,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_TBC_DMML__method_overview.txt
T1_2024_TBC_DMML,Tier 1,DMML: Deep Multi-Prior and Multi-Discriminator Learning for Underwater Image Enhancement,both,2024,IEEE Transactions on Broadcasting,conclusion,3,592,197.33,26.33,79,7.49,8,2.67,3,1,1,0,not reported,0,5,1,4,5.06,therefore=1; specifically=1; finally=1,broad application context+practical importance+technical challenge > unlabeled > broad application context+practical importance+representative prior progress,not applicable,descriptive,1,0,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2024_TBC_DMML__conclusion.txt
T1_2023_SPL_DPAN,Tier 1,DPAN: A Deep Light-Weight Attention-Based Image Super Resolution Network Using Multi-Dimensional Filter Design Technique,M. O. Ahmad,2023,IEEE Signal Processing Letters,introduction,8,376,47.00,3.12,25,15.04,17,2.12,1,0,0,0,itemized,2,1,0,2,8.00,,broad application context+practical importance+representative prior progress > unlabeled > unlabeled > unlabeled > unlabeled > unlabeled > representative prior progress+method summary > unlabeled,not applicable,descriptive,0,0,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2023_SPL_DPAN__introduction.txt
T1_2023_SPL_DPAN,Tier 1,DPAN: A Deep Light-Weight Attention-Based Image Super Resolution Network Using Multi-Dimensional Filter Design Technique,M. O. Ahmad,2023,IEEE Signal Processing Letters,integrated_prior_work,1,194,194.00,9.00,9,21.56,16,16.00,1,0,0,0,not reported,0,1,0,1,11.11,,category introduction+representative methods+strengths,method-family,descriptive,0,0,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2023_SPL_DPAN__integrated_prior_work.txt
T1_2023_SPL_DPAN,Tier 1,DPAN: A Deep Light-Weight Attention-Based Image Super Resolution Network Using Multi-Dimensional Filter Design Technique,M. O. Ahmad,2023,IEEE Signal Processing Letters,method_overview,10,2158,215.80,7.30,73,29.56,11,1.10,1,1,1,0,not reported,0,30,7,43,58.90,however=1; while=4; specifically=3; finally=2,practical importance+representative prior progress+unresolved limitation > representative prior progress+method summary > method summary > representative prior progress+method summary > representative prior progress+unresolved limitation > practical importance+technical challenge+representative prior progress > representative prior progress+method summary+paper organization > unlabeled > technical challenge+representative prior progress > broad application context+technical challenge+representative prior progress,not applicable,critical/comparative,9,1,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2023_SPL_DPAN__method_overview.txt
T1_2023_SPL_DPAN,Tier 1,DPAN: A Deep Light-Weight Attention-Based Image Super Resolution Network Using Multi-Dimensional Filter Design Technique,M. O. Ahmad,2023,IEEE Signal Processing Letters,conclusion,2,131,65.50,3.00,6,21.83,0,0.00,0,1,0,0,not reported,0,5,0,0,0.00,finally=1,representative prior progress+unresolved limitation+method summary > representative prior progress+method summary,not applicable,descriptive,1,0,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2023_SPL_DPAN__conclusion.txt
T1_2023_APPLINT_EDGE,Tier 1,A low-complexity residual deep neural network for image edge detection,both,2023,Applied Intelligence,introduction,5,1511,302.20,11.20,56,26.98,40,8.00,1,3,5,0,not reported,0,0,5,28,50.00,however=5; therefore=1; although=1; while=1; finally=1; in view of this=1,broad application context+practical importance+representative prior progress > technical challenge+representative prior progress+method summary > practical importance+technical challenge+representative prior progress > unlabeled > technical challenge+representative prior progress+unresolved limitation,not applicable,critical/comparative,9,4,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2023_APPLINT_EDGE__introduction.txt
T1_2023_APPLINT_EDGE,Tier 1,A low-complexity residual deep neural network for image edge detection,both,2023,Applied Intelligence,related_work,49,6297,128.51,3.88,190,33.14,63,1.29,1,1,3,1,itemized,1,51,6,115,60.53,however=9; therefore=2; in addition=1; while=1; whereas=1; in contrast=1; specifically=3; finally=7; in view of this=1,category introduction+representative methods+strengths > representative methods > category introduction+representative methods+strengths > unlabeled > unlabeled > representative methods+weaknesses+comparison > unlabeled > representative methods > representative methods > representative methods+strengths+weaknesses > unlabeled > category introduction+representative methods+weaknesses,method-family,critical/comparative,21,13,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2023_APPLINT_EDGE__related_work.txt
T1_2023_APPLINT_EDGE,Tier 1,A low-complexity residual deep neural network for image edge detection,both,2023,Applied Intelligence,conclusion,12,945,78.75,3.58,43,21.98,1,0.08,8,1,1,0,itemized,6,3,1,10,23.26,however=1; while=1; specifically=1,technical challenge+representative prior progress+unresolved limitation > representative prior progress+method summary > representative prior progress > unlabeled > technical challenge+representative prior progress+method summary > practical importance+technical challenge+representative prior progress > broad application context+technical challenge+representative prior progress > broad application context > unlabeled > unlabeled > broad application context+proposed direction > unlabeled,not applicable,critical/comparative,2,0,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2023_APPLINT_EDGE__conclusion.txt
T1_2026_TIP_MSD_RGBT,Tier 1,A Multi-Level Self-Distillation-Based Unified Tracker for Efficient RGB-T Tracking,both,2026,IEEE Transactions on Image Processing,introduction,7,1640,234.29,10.14,71,23.10,26,3.71,1,2,5,7,itemized,3,11,10,18,25.35,however=1; furthermore=1; in addition=1; although=2; while=9; whereas=1; finally=1,unlabeled > broad application context+practical importance+technical challenge > broad application context > broad application context+practical importance+technical challenge > broad application context+practical importance+technical challenge > broad application context+representative prior progress > broad application context+practical importance+technical challenge,not applicable,critical/comparative,14,3,papers/supervisor_style_corpus/rebuilt/sections/tier1/T1_2026_TIP_MSD_RGBT__introduction.txt
