corpus_id_a,corpus_id_b,primary_group_a,primary_group_b,pair_type,normalized_structural_similarity,rhetorical_role_sequence_similarity,citation_density_similarity,paragraph_sentence_structure_similarity,contribution_paragraph_similarity,overall_similarity,consistency_label
T1_2024_TMRB_MIS_FMR,T1_2024_TBC_DMML,A,B,Group A versus Group B,0.5486,0.1458,0.7917,0.8659,0.8333,0.5324,weakly consistent
T1_2024_TMRB_MIS_FMR,T1_2023_SPL_DPAN,A,D,core groups versus Group D,0.5266,0.0625,0.9800,0.1231,0.8333,0.4462,weakly consistent
T1_2024_TMRB_MIS_FMR,T1_2023_APPLINT_EDGE,A,A,within Group A,0.5727,0.1181,0.0000,0.8561,0.8333,0.4562,weakly consistent
T1_2024_TMRB_MIS_FMR,T1_2026_TIP_MSD_RGBT,A,C,Group A/B versus Group C,0.5415,0.2292,0.7150,0.8722,0.6667,0.5264,weakly consistent
T1_2024_TMRB_MIS_FMR,T1_2025_ICIP_HFDAE_RGBT,A,C,Group A/B versus Group C,0.5315,0.1042,0.8750,0.6581,0.8333,0.5019,weakly consistent
T1_2024_TMRB_MIS_FMR,T1_2025_TGRS_UADIFF,A,B,Group A versus Group B,0.5080,0.0833,0.2500,0.8739,0.8333,0.4452,weakly consistent
T1_2024_TMRB_MIS_FMR,T1_2025_JBHI_ALZ_CNN,A,A,within Group A,0.6157,0.0583,0.5833,0.7561,0.8333,0.5089,weakly consistent
T1_2024_TMRB_MIS_FMR,T1_2024_MULTISYS_REFINERHASH,A,A,within Group A,0.7205,0.1944,0.7950,0.2517,0.0000,0.4775,weakly consistent
T1_2024_TMRB_MIS_FMR,T1_2024_VISCOMP_HIGHBOOSTNET,A,B,Group A versus Group B,0.5716,0.1792,0.8333,0.4791,0.6667,0.4999,weakly consistent
T1_2024_TMRB_MIS_FMR,T1_2026_TPAMI_ACLI,A,C,Group A/B versus Group C,0.5859,0.1806,0.7783,0.5618,0.1667,0.4595,weakly consistent
T1_2024_TMRB_MIS_FMR,T1_2023_TAI_THREE_PRIOR_SR,A,A,within Group A,0.7296,0.1319,0.0000,0.1185,0.6667,0.4398,weakly consistent
T1_2024_TMRB_MIS_FMR,T1_2021_TCI_SRNSSI,A,A,within Group A,0.6420,0.1250,0.3750,0.9361,0.8333,0.5346,weakly consistent
T1_2024_TMRB_MIS_FMR,T1_2021_TBC_UPDRESNN,A,A,within Group A,0.5190,0.0694,0.5000,0.7591,0.8333,0.4602,weakly consistent
T1_2024_TMRB_MIS_FMR,T1_2019_TIP_TCHEBICHEF_DENOISING,A,A,within Group A,0.6268,0.1806,0.6000,0.9559,0.8333,0.5661,weakly consistent
T1_2024_TMRB_MIS_FMR,T2_AS2024_PATHOWAVE,A,A,within Group A,0.6386,0.2597,0.6667,0.9591,1.0000,0.6149,moderately consistent
T1_2024_TMRB_MIS_FMR,T2_AH2020_R_SPATIOGRAM_TRACKING,A,D,core groups versus Group D,0.5252,0.1042,0.6667,0.0658,1.0000,0.4356,weakly consistent
T1_2024_TMRB_MIS_FMR,T2_AS2018_VARIATIONAL_MIXED_NOISE,A,C,Group A/B versus Group C,0.4361,0.0722,0.1667,0.8771,0.8333,0.4020,weakly consistent
T1_2024_TMRB_MIS_FMR,T2_AS2015_MSAINDELFR,A,A,within Group A,0.0000,0.0000,0.6667,0.0000,0.8333,0.1500,weakly consistent
T1_2024_TMRB_MIS_FMR,T2_AS2014_EURASIP_ECHO,A,D,core groups versus Group D,0.5106,0.1736,0.8633,0.3376,0.8333,0.4766,weakly consistent
T1_2024_TMRB_MIS_FMR,T2_AS2010_EURASIP_CEPSTRUM,A,D,core groups versus Group D,0.5714,0.2222,0.7017,0.6034,0.8333,0.5265,weakly consistent
T1_2024_TMRB_MIS_FMR,T2_SW2019_HEARING_AIDS,A,D,core groups versus Group D,0.4977,0.0167,0.7667,0.6103,0.8333,0.4491,weakly consistent
T1_2024_TMRB_MIS_FMR,T2_SW2015_COSINE_TCHEBICHEF,A,D,core groups versus Group D,0.1512,0.0000,0.6950,0.0000,0.8333,0.2209,weakly consistent
T1_2024_TMRB_MIS_FMR,T2_SW2013_FRONTIERS_SYNAPTIC,A,D,core groups versus Group D,0.3215,0.0000,0.6700,0.0676,0.8333,0.3018,weakly consistent
T1_2024_TBC_DMML,T1_2023_SPL_DPAN,B,D,core groups versus Group D,0.4710,0.1875,0.8117,0.0000,0.6667,0.4067,weakly consistent
T1_2024_TBC_DMML,T1_2023_APPLINT_EDGE,B,A,Group A versus Group B,0.6288,0.1400,0.2083,0.9902,1.0000,0.5378,weakly consistent
T1_2024_TBC_DMML,T1_2026_TIP_MSD_RGBT,B,C,Group A/B versus Group C,0.5133,0.2143,0.9233,0.7382,0.5000,0.5007,weakly consistent
T1_2024_TBC_DMML,T1_2025_ICIP_HFDAE_RGBT,B,C,Group A/B versus Group C,0.5468,0.2500,0.6667,0.5240,1.0000,0.5276,weakly consistent
